epoch,loss,acc,layer_0,layer_1,layer_2,layer_3,val_loss,val_acc
54,1.227911,0.58188,50.99319114054691,24.214574684697457,83.58131452145518,,1.5072656,0.4914
55,1.339093,0.58236,,,81.50455054518537,,1.5525547,0.484
56,0.9153973,0.58458,,,83.0004832963453,,1.524243,0.4953
57,1.0758669,0.58588,,,79.61368391948295,,1.4966598,0.5024
58,1.3373944,0.58936,64.35696963884963,,84.56789714736328,,1.5141561,0.4896
59,1.1049907,0.58576,,,81.0906698868978,,1.5151569,0.4916
60,1.0287145,0.59118,39.821237141952814,50.50982580692761,85.47045445442947,,1.498126,0.4974
61,1.3153512,0.59286,,,81.28421195582393,,1.5262071,0.4832
62,1.059174,0.59326,44.731541502913174,,83.63370572330821,,1.5367391,0.4928
63,1.0574725,0.59314,41.515392780468204,42.10159768670909,84.42096563159762,,1.5262969,0.4949
64,0.9560879,0.59792,33.8488804865098,12.869024543685082,84.09037171157837,,1.585518,0.4924
65,1.0503064,0.59518,47.420555370912545,59.224171588380976,83.99036777303992,,1.4904032,0.5028
66,0.97251445,0.59892,60.21481786578967,39.97334242296829,84.54517128677995,,1.5111176,0.5047
67,1.0477852,0.60134,,,78.77579158150107,,1.5903715,0.4943
68,1.1039648,0.6021,,,76.76564737204171,,1.6257547,0.4861
69,0.94904006,0.60352,56.42163420587863,,80.12109686721378,,1.5762299,0.4966
70,1.0114062,0.60436,57.96996223763262,38.70543648113773,85.02543456962914,,1.530197,0.5042
71,0.8597943,0.60566,47.44895796459071,48.59496851035353,83.68242763194111,,1.5353451,0.51
72,1.0176014,0.60714,61.833845858001176,36.08819123261803,82.69970511770225,,1.5322213,0.5122
73,0.7539866,0.60782,36.7753847268756,,75.36402706374143,,1.6091533,0.4948
74,1.0508885,0.60828,41.618290710029115,,81.38264987590856,,1.5887681,0.5012
75,1.1148896,0.61196,9.659609595660053,,78.6589589023316,,1.5956683,0.4958
76,1.2371986,0.61338,,,64.10814236273568,,1.6926836,0.4662
77,0.8535331,0.6138,61.560162895297715,35.76144273706185,83.46998076526346,,1.5425543,0.5064
78,0.9925066,0.61592,,,75.21256468327842,,1.6619996,0.4903
79,0.9676458,0.61352,43.08051492989334,28.801799836976922,79.86172492593157,,1.5855207,0.4982
80,0.98009205,0.61898,25.91643785672973,,69.24697566335493,,1.5952797,0.4868
81,1.0177152,0.61754,52.47124103042101,29.855239668612832,80.52712631716147,,1.6136163,0.4957
82,1.1021011,0.61972,52.594118386800375,32.94754691884544,81.97494213344653,,1.5830191,0.4919
83,0.8816681,0.62166,48.41689804444688,38.96663745642678,82.62863695522016,33.30851603774225,1.6069895,0.4948
84,1.1033844,0.62094,39.79344077641536,,76.81938724641051,,1.6261193,0.4936
85,1.0006268,0.62478,9.934812272961613,,74.96639688561676,,1.6959676,0.4817
86,1.0136068,0.62648,37.98932386897237,,72.96633162941487,,1.6394942,0.4965
87,1.1502688,0.6271,,,78.19179164866544,,1.6447703,0.4964
88,0.9196271,0.62858,41.04234125081017,,69.86089400769337,,1.6931517,0.4834
89,1.1103833,0.62848,,,70.3608470353278,,1.684508,0.4903
90,0.8845399,0.63126,,,68.84154049368478,,1.6695986,0.4889
91,0.82811105,0.62926,54.42071203705831,,78.77456290619874,,1.6298629,0.5004
92,0.84660006,0.63204,3.998803534671025,,59.81900751015863,,1.6533604,0.5018
93,1.0531954,0.63068,,,73.0427781619402,,1.7089715,0.4937
94,0.78109694,0.6343,20.778246217965698,,72.78033654903071,,1.6592005,0.4976
95,1.1469566,0.63588,,,28.94555872053315,,1.730735,0.4787
96,0.80341274,0.63558,41.196704793123644,,52.51669791395446,,1.7304382,0.486
97,0.8420822,0.63942,,,77.24148904196632,,1.7222347,0.4936
98,0.8451309,0.63832,,,31.554388274836175,,1.754642,0.4872
99,0.91206837,0.63834,56.803688141698586,47.82534144915557,78.38087928401816,,1.6809231,0.4952
