epoch,epoch,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0,1.8693997859954834,0.3190799951553345,1.7123894691467285,0.38519999384880066
1,1,1.675653100013733,0.3960999846458435,1.6249066591262817,0.4123999774456024
2,2,1.5750652551651,0.43435999751091003,1.6458593606948853,0.4211999773979187
3,3,1.5237367153167725,0.45350000262260437,1.5553579330444336,0.4373999834060669
4,4,1.4810940027236938,0.4704599976539612,1.4843658208847046,0.47529998421669006
5,5,,0.12783999741077423,,0.09999999403953552
6,6,,0.09999999403953552,,0.09999999403953552
7,7,,0.09999999403953552,,0.09999999403953552
8,8,,0.09999999403953552,,0.09999999403953552
9,9,,0.09999999403953552,,0.09999999403953552
10,10,,0.09999999403953552,,0.09999999403953552
11,11,,0.09999999403953552,,0.09999999403953552
12,12,,0.09999999403953552,,0.09999999403953552
13,13,,0.09999999403953552,,0.09999999403953552
14,14,,0.09999999403953552,,0.09999999403953552
15,15,,0.09999999403953552,,0.09999999403953552
16,16,,0.09999999403953552,,0.09999999403953552
17,17,,0.09999999403953552,,0.09999999403953552
18,18,,0.09999999403953552,,0.09999999403953552
19,19,,0.09999999403953552,,0.09999999403953552
20,20,,0.09999999403953552,,0.09999999403953552
21,21,,0.09999999403953552,,0.09999999403953552
22,22,,0.09999999403953552,,0.09999999403953552
23,23,,0.09999999403953552,,0.09999999403953552
24,24,,0.09999999403953552,,0.09999999403953552
25,25,,0.09999999403953552,,0.09999999403953552
26,26,,0.09999999403953552,,0.09999999403953552
27,27,,0.09999999403953552,,0.09999999403953552
28,28,,0.09999999403953552,,0.09999999403953552
29,29,,0.09999999403953552,,0.09999999403953552
30,30,,0.09999999403953552,,0.09999999403953552
31,31,,0.09999999403953552,,0.09999999403953552
32,32,,0.09999999403953552,,0.09999999403953552
33,33,,0.09999999403953552,,0.09999999403953552
34,34,,0.09999999403953552,,0.09999999403953552
35,35,,0.09999999403953552,,0.09999999403953552
36,36,,0.09999999403953552,,0.09999999403953552
37,37,,0.09999999403953552,,0.09999999403953552
38,38,,0.09999999403953552,,0.09999999403953552
39,39,,0.09999999403953552,,0.09999999403953552
