epoch,epoch,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0,1.5374480485916138,0.43027999997138977,1.2060461044311523,0.5658000111579895
1,1,1.019237756729126,0.6375600099563599,0.9350221157073975,0.6730999946594238
2,2,0.7869075536727905,0.7231199741363525,0.8309223651885986,0.7098999619483948
3,3,0.6455233097076416,0.7757999897003174,0.760603129863739,0.7404999732971191
4,4,0.5229593515396118,0.8174799680709839,0.7166833281517029,0.7648999691009521
5,5,0.4289386570453644,0.8495399951934814,0.8146965503692627,0.748199999332428
6,6,0.3328442871570587,0.8830599784851074,0.8359487056732178,0.7576000094413757
7,7,0.25722795724868774,0.9094199538230896,0.9717350602149963,0.7453999519348145
8,8,0.20209087431430817,0.9282799959182739,0.976284921169281,0.762999951839447
9,9,0.16040076315402985,0.9423999786376953,1.0148911476135254,0.7599999904632568
10,10,0.12807951867580414,0.9555799961090088,1.1534333229064941,0.7627999782562256
11,11,0.11710692197084427,0.9593199491500854,1.2713381052017212,0.7595999836921692
12,12,0.10858984291553497,0.9630999565124512,1.292948842048645,0.741599977016449
13,13,0.0938992127776146,0.9677199721336365,1.4242826700210571,0.7484999895095825
14,14,0.09176472574472427,0.9686799645423889,1.3761106729507446,0.7511000037193298
15,15,0.08287933468818665,0.972000002861023,1.3379253149032593,0.7489999532699585
16,16,0.07752009481191635,0.9736799597740173,1.303846001625061,0.7541999816894531
17,17,0.06782176345586777,0.9763799905776978,1.480946660041809,0.7598999738693237
18,18,0.0673019140958786,0.977400004863739,1.3281536102294922,0.7585999965667725
19,19,0.06490299850702286,0.977679967880249,1.364198923110962,0.7608999609947205
20,20,0.06583387404680252,0.9780799746513367,1.5441721677780151,0.7537999749183655
21,21,0.06909237802028656,0.9772199988365173,1.4829647541046143,0.7627999782562256
22,22,0.05552424117922783,0.9811199903488159,1.5572267770767212,0.7587999701499939
23,23,0.057746779173612595,0.9806199669837952,1.6386339664459229,0.7421999573707581
24,24,0.055118635296821594,0.9812399744987488,1.5151387453079224,0.755899965763092
25,25,0.049461062997579575,0.9831599593162537,1.5636165142059326,0.7626999616622925
26,26,0.052405234426259995,0.9821999669075012,1.5169628858566284,0.765500009059906
27,27,0.05347160995006561,0.9814199805259705,1.5455480813980103,0.7565000057220459
28,28,0.04231495037674904,0.9860599637031555,1.6868714094161987,0.7631999850273132
29,29,0.04234952852129936,0.9862599968910217,1.5075082778930664,0.7590999603271484
30,30,0.048174794763326645,0.9839800000190735,1.535839557647705,0.7608000040054321
31,31,0.0468057245016098,0.9847599864006042,1.5556544065475464,0.770799994468689
32,32,0.046639807522296906,0.9849399924278259,1.629435658454895,0.7515000104904175
33,33,0.042040202766656876,0.9869999885559082,1.633038878440857,0.7646999955177307
34,34,0.04681124538183212,0.9843199849128723,1.5437618494033813,0.762499988079071
35,35,0.04076820984482765,0.9866600036621094,1.6167280673980713,0.7595999836921692
36,36,0.03888429328799248,0.9871999621391296,1.7649357318878174,0.757099986076355
37,37,0.03906770050525665,0.9876399636268616,1.6154528856277466,0.7493999600410461
38,38,0.04327241703867912,0.9861799478530884,1.6716082096099854,0.7550999522209167
39,39,0.038737423717975616,0.9870599508285522,1.6478585004806519,0.7601999640464783
