epoch,loss,layer 0 diff,layer 1 diff,layer 2 diff,layer 3 diff,layer 4 diff,layer 5 diff
69,0.22376814,1.0366694,2.265248e-06,0.8798951,2.8452541e-06,0.0,0.0
70,0.2250376,1.0164641,2.6272091e-06,0.87460077,2.9888686e-06,0.0,0.0
71,0.2230183,1.0586675,3.0201059e-06,0.9352095,2.3486255e-06,0.0,0.0
72,0.20812279,1.0671542,2.6094672e-06,0.93007886,2.726815e-06,0.0,0.0
73,0.21168517,1.0889041,2.6605856e-06,0.9153481,2.994713e-06,0.0,0.0
74,0.20595671,1.0693271,2.3744017e-06,0.9312462,2.8883446e-06,0.0,0.0
75,0.20250581,1.0168415,3.0354192e-06,0.92007804,2.5615254e-06,0.0,0.0
76,0.21176997,0.98291683,2.4017638e-06,0.89189154,2.3508803e-06,0.0,0.0
77,0.22612177,1.0329934,2.2302954e-06,0.87200403,2.9093414e-06,0.0,0.0
78,0.21491443,1.0992966,2.5440731e-06,0.95301694,2.9736843e-06,0.0,0.0
79,0.20565468,1.1338828,2.5709055e-06,0.9342481,2.6024127e-06,0.0,0.0
80,0.22794454,1.0484561,2.9396467e-06,0.8738505,3.086611e-06,0.0,0.0
81,0.21143061,1.078496,2.7031656e-06,0.9444321,3.0146562e-06,0.0,0.0
82,0.20625941,1.0602084,2.8395007e-06,0.9390089,2.6334283e-06,0.0,0.0
83,0.21692659,1.0582397,2.382307e-06,0.90131557,3.0515428e-06,0.0,0.0
84,0.21408036,1.0591936,2.7483547e-06,0.922123,2.5396168e-06,0.0,0.0
85,0.20642632,1.0679864,2.4979822e-06,0.9655669,2.9468492e-06,0.0,0.0
86,0.20230241,1.0321453,2.615323e-06,0.92963177,2.5495187e-06,0.0,0.0
87,0.2165571,0.9876996,2.5339932e-06,0.88875794,2.7794465e-06,0.0,0.0
88,0.22071764,1.043194,3.507893e-06,0.90918165,3.1798409e-06,0.0,0.0
89,0.21565503,1.0269997,2.6699806e-06,0.89243865,3.0086728e-06,0.0,0.0
90,0.25408265,0.99482745,2.718604e-06,0.83461356,2.6175758e-06,0.0,0.0
91,0.2221944,1.033702,2.8058748e-06,0.8725625,3.006365e-06,0.0,0.0
92,0.21299472,1.1023645,2.6791254e-06,0.9521278,2.898689e-06,0.0,0.0
93,0.21194209,1.0824984,3.1004668e-06,0.91057456,2.9370985e-06,0.0,0.0
94,0.20611714,1.028214,2.5514387e-06,0.899113,2.5188622e-06,0.0,0.0
95,0.20693357,1.0089908,2.7368842e-06,0.9196892,2.5397942e-06,0.0,0.0
96,0.20375307,1.0913378,2.276e-06,0.91921645,2.562791e-06,0.0,0.0
97,0.20330247,1.0724477,2.8679729e-06,0.91293114,2.3825755e-06,0.0,0.0
98,0.20498165,1.055213,2.414509e-06,0.880495,2.7158753e-06,0.0,0.0
99,0.20938085,0.97889286,2.8183417e-06,0.88468385,2.2356007e-06,0.0,0.0
