,epoch,num_parameters,dim,rank,loss,accuracy,val_loss,val_accuracy
0,1,15640,10,5,2.160614252090454,0.15286000072956085,2.075802803039551,0.18050000071525574
1,2,15640,10,5,2.06864595413208,0.18772000074386597,2.0696678161621094,0.186599999666214
2,3,15640,10,5,2.056762933731079,0.19249999523162842,2.104820489883423,0.18150000274181366
3,4,15640,10,5,2.0462088584899902,0.2040800005197525,2.035949468612671,0.20280000567436218
4,5,15640,10,5,2.0377156734466553,0.2094999998807907,2.0512123107910156,0.2029000073671341
5,6,15640,10,5,2.0253257751464844,0.21699999272823334,2.0335190296173096,0.2143000066280365
6,7,15640,10,5,2.0078766345977783,0.2340800017118454,1.9840699434280396,0.23909999430179596
7,8,15640,10,5,1.9689942598342896,0.2544200122356415,1.9506117105484009,0.2563000023365021
8,9,15640,10,5,1.9389724731445312,0.2655400037765503,1.9396398067474365,0.2630999982357025
9,10,15640,10,5,1.926209807395935,0.2690800130367279,1.944122314453125,0.24570000171661377
10,11,15640,10,5,1.9180034399032593,0.27215999364852905,1.9063669443130493,0.2736999988555908
11,12,15640,10,5,1.9119700193405151,0.27507999539375305,1.9101840257644653,0.2721000015735626
12,13,15640,10,5,1.9071154594421387,0.2776400148868561,1.9495062828063965,0.26190000772476196
13,14,15640,10,5,1.9030301570892334,0.2797999978065491,1.8967331647872925,0.2831000089645386
14,15,15640,10,5,1.8990689516067505,0.28016000986099243,1.9034885168075562,0.2775000035762787
15,16,15640,10,5,1.895891547203064,0.28314000368118286,1.8929076194763184,0.27959999442100525
16,17,15640,10,5,1.8934953212738037,0.28352001309394836,1.8906779289245605,0.2849000096321106
17,18,15640,10,5,1.8906190395355225,0.2852799892425537,1.905968189239502,0.2734000086784363
18,19,15640,10,5,1.8864423036575317,0.28679999709129333,1.8892388343811035,0.28060001134872437
19,20,15640,10,5,1.8846228122711182,0.28648000955581665,1.8823986053466797,0.2888999879360199
20,21,15640,10,5,1.8790379762649536,0.28887999057769775,1.8905384540557861,0.2800999879837036
21,22,15640,10,5,1.8742504119873047,0.2934199869632721,1.861114263534546,0.2962999939918518
22,23,15640,10,5,1.8667330741882324,0.29506000876426697,1.8871947526931763,0.2946999967098236
23,24,15640,10,5,1.860000729560852,0.30160000920295715,1.8996927738189697,0.2883000075817108
24,25,15640,10,5,1.8518627882003784,0.3097200095653534,1.8666898012161255,0.30730000138282776
25,26,15640,10,5,1.8430922031402588,0.3157599866390228,1.8617151975631714,0.30869999527931213
26,27,15640,10,5,1.8311150074005127,0.3255600035190582,1.8297446966171265,0.32510000467300415
27,28,15640,10,5,1.8196609020233154,0.33177998661994934,1.8140320777893066,0.33180001378059387
28,29,15640,10,5,1.807613730430603,0.33889999985694885,1.7978472709655762,0.3377000093460083
29,30,15640,10,5,1.799526572227478,0.34290000796318054,1.849390983581543,0.3165000081062317
30,31,15640,10,5,1.791504979133606,0.3468799889087677,1.8005951642990112,0.33809998631477356
