,epoch,num_parameters,dim,rank,loss,accuracy,val_loss,val_accuracy
0,1,16630,10,5,4.500903606414795,0.01561999972909689,4.378154277801514,0.020500000566244125
1,2,16630,10,5,4.339287757873535,0.023959999904036522,4.341843128204346,0.029400000348687172
2,3,16630,10,5,4.296787261962891,0.030160000547766685,4.298149585723877,0.03280000016093254
3,4,16630,10,5,4.2727580070495605,0.03466000035405159,4.273086071014404,0.035999998450279236
4,5,16630,10,5,4.255654335021973,0.0362199991941452,4.283670902252197,0.034299999475479126
5,6,16630,10,5,4.239560127258301,0.03906000033020973,4.2470831871032715,0.041200000792741776
6,7,16630,10,5,4.222845077514648,0.04156000167131424,4.221562385559082,0.04360000044107437
7,8,16630,10,5,4.206970691680908,0.04213999956846237,4.206820487976074,0.04479999840259552
8,9,16630,10,5,4.191182613372803,0.044179998338222504,4.202178001403809,0.0406000018119812
9,10,16630,10,5,4.178447723388672,0.045899998396635056,4.191062927246094,0.04100000113248825
10,11,16630,10,5,4.165745258331299,0.047359999269247055,4.202252388000488,0.04320000112056732
11,12,16630,10,5,4.154653072357178,0.04845999926328659,4.175412178039551,0.04859999939799309
12,13,16630,10,5,4.144573211669922,0.04952000081539154,4.178971290588379,0.043800000101327896
13,14,16630,10,5,4.133403778076172,0.05194000154733658,4.169674396514893,0.04450000077486038
14,15,16630,10,5,4.123370170593262,0.05274000018835068,4.17702054977417,0.04769999906420708
15,16,16630,10,5,4.113110065460205,0.05389999970793724,4.12974214553833,0.05220000073313713
16,17,16630,10,5,4.099520206451416,0.0574599988758564,4.124343395233154,0.052299998700618744
17,18,16630,10,5,4.082733631134033,0.06027999892830849,4.147542953491211,0.05040000006556511
18,19,16630,10,5,4.066572666168213,0.06202000007033348,4.098001480102539,0.058400001376867294
19,20,16630,10,5,4.050535202026367,0.06465999782085419,4.059976577758789,0.0649000033736229
20,21,16630,10,5,4.034337043762207,0.06626000255346298,4.0455827713012695,0.065700002014637
21,22,16630,10,5,4.022933483123779,0.06868000328540802,4.0566301345825195,0.06400000303983688
22,23,16630,10,5,4.011684894561768,0.07051999866962433,4.0278401374816895,0.06679999828338623
23,24,16630,10,5,4.002767086029053,0.07221999764442444,4.025092124938965,0.0697999969124794
