,epoch,num_parameters,dim,rank,training_duration,loss,accuracy,val_loss,val_accuracy
0,1,15640,10,5,61.13701510429382,2.135352611541748,0.16329999268054962,2.0875091552734375,0.1785999983549118
1,2,15640,10,5,61.13701510429382,2.0745463371276855,0.1826999932527542,2.063680648803711,0.18039999902248383
2,3,15640,10,5,61.13701510429382,2.0656356811523438,0.18605999648571014,2.0562291145324707,0.17820000648498535
3,4,15640,10,5,61.13701510429382,2.0594654083251953,0.18705999851226807,2.052053928375244,0.1777999997138977
4,5,15640,10,5,61.13701510429382,2.0555686950683594,0.1887200027704239,2.04366135597229,0.18289999663829803
5,6,15640,10,5,61.13701510429382,2.0515451431274414,0.18702000379562378,2.0712177753448486,0.18940000236034393
6,7,15640,10,5,61.13701510429382,2.050633668899536,0.18916000425815582,2.04825496673584,0.19679999351501465
7,8,15640,10,5,61.13701510429382,2.0476415157318115,0.19033999741077423,2.035566806793213,0.20200000703334808
8,9,15640,10,5,61.13701510429382,2.0443599224090576,0.19920000433921814,2.0342769622802734,0.21070000529289246
9,10,15640,10,5,61.13701510429382,2.008798837661743,0.23683999478816986,1.9671591520309448,0.249099999666214
10,11,15640,10,5,61.13701510429382,1.9553183317184448,0.2596000134944916,1.9658451080322266,0.2434999942779541
11,12,15640,10,5,61.13701510429382,1.9447177648544312,0.2588599920272827,1.9445689916610718,0.2483000010251999
12,13,15640,10,5,61.13701510429382,1.939902663230896,0.25628000497817993,1.9297553300857544,0.2621000111103058
13,14,15640,10,5,61.13701510429382,1.9368091821670532,0.2584399878978729,1.9206193685531616,0.26489999890327454
14,15,15640,10,5,61.13701510429382,1.933031678199768,0.2606000006198883,1.9269273281097412,0.2646999955177307
15,16,15640,10,5,61.13701510429382,1.9312232732772827,0.26183998584747314,1.931572437286377,0.2563999891281128
16,17,15640,10,5,61.13701510429382,1.9293371438980103,0.2633199989795685,1.9391181468963623,0.2533000111579895
17,18,15640,10,5,61.13701510429382,1.9272940158843994,0.262800008058548,1.9233547449111938,0.26510000228881836
18,19,15640,10,5,61.13701510429382,1.9266409873962402,0.26405999064445496,1.9340521097183228,0.2639999985694885
19,20,15640,10,5,61.13701510429382,1.9247721433639526,0.26732000708580017,1.9101808071136475,0.27320000529289246
20,21,15640,10,5,61.13701510429382,1.9230930805206299,0.26697999238967896,1.9121533632278442,0.2736999988555908
21,22,15640,10,5,61.13701510429382,1.9231935739517212,0.26844000816345215,1.934363842010498,0.25429999828338623
22,23,15640,10,5,61.13701510429382,1.9210139513015747,0.2696000039577484,1.9134026765823364,0.2696000039577484
23,24,15640,10,5,61.13701510429382,1.9209134578704834,0.26985999941825867,1.9169609546661377,0.2734000086784363
24,25,15640,10,5,61.13701510429382,1.9211429357528687,0.2692599892616272,1.9647095203399658,0.25
25,26,15640,10,5,61.13701510429382,1.9193364381790161,0.26826000213623047,1.9183921813964844,0.2689000070095062
26,27,15640,10,5,61.13701510429382,1.9193617105484009,0.2700600028038025,1.937617540359497,0.26600000262260437
27,28,15640,10,5,61.13701510429382,1.9175429344177246,0.27094000577926636,1.9163589477539062,0.2727000117301941
28,29,15640,10,5,61.13701510429382,1.9171234369277954,0.26927998661994934,1.9191395044326782,0.2728999853134155
29,30,15640,10,5,61.13701510429382,1.9165947437286377,0.2723200023174286,1.9528554677963257,0.25920000672340393
30,31,15640,10,5,61.13701510429382,1.914088249206543,0.2740600109100342,1.9020540714263916,0.2782000005245209
31,32,15640,10,5,61.13701510429382,1.9141424894332886,0.27535998821258545,1.9623304605484009,0.25769999623298645
32,33,15640,10,5,61.13701510429382,1.9067409038543701,0.2862800061702728,1.904171109199524,0.2987000048160553
33,34,15640,10,5,61.13701510429382,1.881544828414917,0.3076399862766266,1.8866153955459595,0.31529998779296875
34,35,15640,10,5,61.13701510429382,1.8659290075302124,0.3158000111579895,1.8569269180297852,0.3237000107765198
35,36,15640,10,5,61.13701510429382,1.8533223867416382,0.3224799931049347,1.8866007328033447,0.3151000142097473
36,37,15640,10,5,61.13701510429382,1.8477206230163574,0.3270399868488312,1.8895165920257568,0.3000999987125397
37,38,15640,10,5,61.13701510429382,1.8448642492294312,0.3286600112915039,1.9017406702041626,0.2971999943256378
38,39,15640,10,5,61.13701510429382,1.8418278694152832,0.3291800022125244,1.8651220798492432,0.30300000309944153
39,40,15640,10,5,61.13701510429382,1.8409712314605713,0.3297399878501892,1.8590794801712036,0.31520000100135803
40,41,15640,10,5,61.13701510429382,1.8379367589950562,0.33024001121520996,1.8595685958862305,0.3244999945163727
41,42,15640,10,5,61.13701510429382,1.83800208568573,0.33122000098228455,1.8516050577163696,0.3176000118255615
42,43,15640,10,5,61.13701510429382,1.8365696668624878,0.3332799971103668,1.8647189140319824,0.3165999948978424
43,44,15640,10,5,61.13701510429382,1.835675597190857,0.330159991979599,1.8511852025985718,0.3280999958515167
44,45,15640,10,5,61.13701510429382,1.8360430002212524,0.3322199881076813,1.8393175601959229,0.3260999917984009
45,46,15640,10,5,61.13701510429382,1.8340717554092407,0.33423998951911926,1.8462165594100952,0.32109999656677246
46,47,15640,10,5,61.13701510429382,1.8322440385818481,0.33309999108314514,1.873414397239685,0.31470000743865967
47,48,15640,10,5,61.13701510429382,1.8311426639556885,0.33441999554634094,1.829162359237671,0.33230000734329224
48,49,15640,10,5,61.13701510429382,1.8302325010299683,0.3337799906730652,1.8732209205627441,0.3077000081539154
49,50,15640,10,5,61.13701510429382,1.8298181295394897,0.33654001355171204,1.8450093269348145,0.322299987077713
50,1,31150,10,10,63.78312802314758,2.1237521171569824,0.16804000735282898,2.0992929935455322,0.18039999902248383
51,2,31150,10,10,63.78312802314758,2.0756425857543945,0.18211999535560608,2.101583480834961,0.17389999330043793
52,3,31150,10,10,63.78312802314758,2.067945718765259,0.1830199956893921,2.0716025829315186,0.18070000410079956
53,4,31150,10,10,63.78312802314758,2.060084819793701,0.18940000236034393,2.051255941390991,0.1882999986410141
54,5,31150,10,10,63.78312802314758,2.043900728225708,0.20941999554634094,2.003993511199951,0.24779999256134033
55,6,31150,10,10,63.78312802314758,1.9709936380386353,0.25547999143600464,1.9638797044754028,0.2451000064611435
56,7,31150,10,10,63.78312802314758,1.9506036043167114,0.25835999846458435,1.9446935653686523,0.25870001316070557
57,8,31150,10,10,63.78312802314758,1.9450817108154297,0.26166000962257385,1.9355757236480713,0.26109999418258667
58,9,31150,10,10,63.78312802314758,1.9412187337875366,0.26302000880241394,2.0020594596862793,0.23149999976158142
59,10,31150,10,10,63.78312802314758,1.9165748357772827,0.2890399992465973,1.9394761323928833,0.2759999930858612
60,11,31150,10,10,63.78312802314758,1.894285798072815,0.3036400079727173,1.9503473043441772,0.29030001163482666
61,12,31150,10,10,63.78312802314758,1.8803213834762573,0.3087199926376343,1.9104869365692139,0.28940001130104065
62,13,31150,10,10,63.78312802314758,1.870724081993103,0.3146800100803375,1.8629746437072754,0.3174000084400177
63,14,31150,10,10,63.78312802314758,1.8638312816619873,0.3195199966430664,1.9159743785858154,0.28760001063346863
64,15,31150,10,10,63.78312802314758,1.8602122068405151,0.32308000326156616,1.9070509672164917,0.30149999260902405
65,16,31150,10,10,63.78312802314758,1.8569402694702148,0.32214000821113586,1.9042381048202515,0.2946000099182129
66,17,31150,10,10,63.78312802314758,1.8546289205551147,0.3233799934387207,1.8782603740692139,0.301800012588501
67,18,31150,10,10,63.78312802314758,1.8517820835113525,0.3253200054168701,1.8496695756912231,0.3181000053882599
68,19,31150,10,10,63.78312802314758,1.8500621318817139,0.32670000195503235,1.8687564134597778,0.31619998812675476
69,20,31150,10,10,63.78312802314758,1.8474295139312744,0.3292999863624573,1.8431353569030762,0.32899999618530273
70,21,31150,10,10,63.78312802314758,1.8469074964523315,0.3279399871826172,1.9080758094787598,0.3009999990463257
71,22,31150,10,10,63.78312802314758,1.8450798988342285,0.3297800123691559,1.8789689540863037,0.29490000009536743
72,23,31150,10,10,63.78312802314758,1.8438687324523926,0.33028000593185425,1.851928472518921,0.32429999113082886
73,24,31150,10,10,63.78312802314758,1.842436671257019,0.3280999958515167,1.8695060014724731,0.31349998712539673
74,25,31150,10,10,63.78312802314758,1.842183232307434,0.3306800127029419,1.8622416257858276,0.3190000057220459
75,26,31150,10,10,63.78312802314758,1.839900016784668,0.33090001344680786,1.8408405780792236,0.3296999931335449
76,27,31150,10,10,63.78312802314758,1.8386141061782837,0.3316200077533722,1.8768316507339478,0.3077000081539154
77,28,31150,10,10,63.78312802314758,1.8381534814834595,0.3332599997520447,1.8850327730178833,0.30730000138282776
78,29,31150,10,10,63.78312802314758,1.8349660634994507,0.33362001180648804,1.826026201248169,0.3321000039577484
79,30,31150,10,10,63.78312802314758,1.8294254541397095,0.33671998977661133,1.8723046779632568,0.30970001220703125
80,31,31150,10,10,63.78312802314758,1.8206968307495117,0.3405199944972992,1.860610008239746,0.3273000121116638
81,32,31150,10,10,63.78312802314758,1.8144333362579346,0.3444800078868866,1.808597445487976,0.3467999994754791
82,33,31150,10,10,63.78312802314758,1.8064013719558716,0.3473399877548218,1.8556253910064697,0.32339999079704285
83,34,31150,10,10,63.78312802314758,1.8023616075515747,0.34880000352859497,1.833030104637146,0.3440999984741211
84,35,31150,10,10,63.78312802314758,1.7975252866744995,0.34869998693466187,1.8354651927947998,0.32600000500679016
85,36,31150,10,10,63.78312802314758,1.7959412336349487,0.3510200083255768,1.8088847398757935,0.3433000147342682
86,37,31150,10,10,63.78312802314758,1.7939574718475342,0.3541199862957001,1.8238273859024048,0.3465999960899353
87,38,31150,10,10,63.78312802314758,1.7933634519577026,0.3543199896812439,1.8079320192337036,0.3456000089645386
88,39,31150,10,10,63.78312802314758,1.79132080078125,0.35374000668525696,1.790257453918457,0.3596000075340271
89,40,31150,10,10,63.78312802314758,1.7888164520263672,0.35740000009536743,1.784389615058899,0.3555000126361847
90,41,31150,10,10,63.78312802314758,1.7868387699127197,0.35982000827789307,1.82373046875,0.3472000062465668
91,42,31150,10,10,63.78312802314758,1.7821906805038452,0.362419992685318,1.8037580251693726,0.35580000281333923
92,43,31150,10,10,63.78312802314758,1.7779462337493896,0.3664200007915497,1.8407477140426636,0.33959999680519104
93,44,31150,10,10,63.78312802314758,1.7765802145004272,0.36785998940467834,1.8020352125167847,0.35499998927116394
94,45,31150,10,10,63.78312802314758,1.77274751663208,0.3693000078201294,1.790859580039978,0.3644999861717224
95,46,31150,10,10,63.78312802314758,1.7725063562393188,0.37022000551223755,1.7924615144729614,0.35109999775886536
