,epoch,num_parameters,dim,rank,loss,accuracy,val_loss,val_accuracy
78,29,8270,10,10,0.3000195324420929,0.9117666482925415,0.31499654054641724,0.909600019454956
79,30,8270,10,10,0.2933413088321686,0.9137666821479797,0.30651307106018066,0.9128999710083008
80,31,8270,10,10,0.2864241898059845,0.9158166646957397,0.3039481043815613,0.911300003528595
81,32,8270,10,10,0.27945849299430847,0.9179166555404663,0.30798816680908203,0.9104999899864197
82,33,8270,10,10,0.2726651728153229,0.9206333160400391,0.2940795421600342,0.9168000221252441
83,34,8270,10,10,0.26620620489120483,0.9227166771888733,0.3010956346988678,0.9118000268936157
84,35,8270,10,10,0.259838342666626,0.9239333271980286,0.3085556626319885,0.9088000059127808
85,36,8270,10,10,0.2535964250564575,0.9258833527565002,0.2788132429122925,0.9200999736785889
86,37,8270,10,10,0.2487531304359436,0.9271833300590515,0.27507534623146057,0.9207000136375427
87,38,8270,10,10,0.2440556138753891,0.929016649723053,0.2738724946975708,0.9232000112533569
88,39,8270,10,10,0.23970884084701538,0.9303500056266785,0.2705601155757904,0.9240000247955322
89,40,8270,10,10,0.23586907982826233,0.9312333464622498,0.26483094692230225,0.9251999855041504
90,41,8270,10,10,0.23206327855587006,0.9324666857719421,0.2672785520553589,0.9235000014305115
91,42,8270,10,10,0.22899267077445984,0.9333166480064392,0.26152727007865906,0.9254999756813049
92,43,8270,10,10,0.22538046538829803,0.9339166879653931,0.2644329071044922,0.9247000217437744
93,44,8270,10,10,0.22200338542461395,0.9357500076293945,0.2595309019088745,0.9266999959945679
94,45,8270,10,10,0.21799345314502716,0.9367333054542542,0.2627502977848053,0.9236999750137329
95,46,8270,10,10,0.2155960351228714,0.937166690826416,0.248710498213768,0.9277999997138977
96,47,8270,10,10,0.21216335892677307,0.9381666779518127,0.24584145843982697,0.9283999800682068
97,48,8270,10,10,0.2096753567457199,0.9384833574295044,0.24098744988441467,0.9315000176429749
98,49,8270,10,10,0.2070452868938446,0.93913334608078,0.2407766878604889,0.9312000274658203
99,50,8270,10,10,0.2045660763978958,0.9400333166122437,0.23840424418449402,0.9314000010490417
100,1,8070,10,-1,1.583081841468811,0.4700166583061218,0.9981100559234619,0.7164999842643738
101,2,8070,10,-1,0.7780401706695557,0.769349992275238,0.6057681441307068,0.8220999836921692
102,3,8070,10,-1,0.5404715538024902,0.8414499759674072,0.4661622941493988,0.8640999794006348
103,4,8070,10,-1,0.4475608170032501,0.8704833388328552,0.4162391722202301,0.8799999952316284
104,5,8070,10,-1,0.4079155921936035,0.8829166889190674,0.39344173669815063,0.8841999769210815
105,6,8070,10,-1,0.3820965588092804,0.8895833492279053,0.37222349643707275,0.8895000219345093
106,7,8070,10,-1,0.36128371953964233,0.8957333564758301,0.35247722268104553,0.8986999988555908
107,8,8070,10,-1,0.3424329459667206,0.9017000198364258,0.3319505751132965,0.9014999866485596
108,9,8070,10,-1,0.32446423172950745,0.9072833061218262,0.316130131483078,0.9049000144004822
109,10,8070,10,-1,0.3087380528450012,0.9117500185966492,0.3004542589187622,0.9117000102996826
110,11,8070,10,-1,0.2948046028614044,0.9154999852180481,0.2883293926715851,0.9164000153541565
