,epoch,num_parameters,dim,rank,training_duration,loss,accuracy,val_loss,val_accuracy
0,1,4200,10,5,23.596771001815796,1.8672608137130737,0.21115000545978546,1.7084482908248901,0.23180000483989716
1,2,4200,10,5,23.596771001815796,1.6633371114730835,0.2838166654109955,1.6441577672958374,0.33739998936653137
2,3,4200,10,5,23.596771001815796,1.5913753509521484,0.3635999858379364,1.5805540084838867,0.38850000500679016
3,4,4200,10,5,23.596771001815796,1.5394363403320312,0.39391666650772095,1.554247260093689,0.39309999346733093
4,5,4200,10,5,23.596771001815796,1.5128682851791382,0.4098833203315735,1.5285102128982544,0.4174000024795532
5,6,4200,10,5,23.596771001815796,1.4225504398345947,0.4672166705131531,1.2831645011901855,0.527899980545044
6,7,4200,10,5,23.596771001815796,1.1480447053909302,0.5752833485603333,1.1085461378097534,0.6132000088691711
7,8,4200,10,5,23.596771001815796,1.0385026931762695,0.6315666437149048,1.0291707515716553,0.6452000141143799
8,9,4200,10,5,23.596771001815796,0.9917717576026917,0.6630666851997375,1.0053035020828247,0.6668999791145325
9,10,4200,10,5,23.596771001815796,0.9753980040550232,0.6776333451271057,1.0084130764007568,0.6686000227928162
10,11,4200,10,5,23.596771001815796,0.9676019549369812,0.6820499897003174,0.9925674796104431,0.6775000095367432
11,12,4200,10,5,23.596771001815796,0.9626583456993103,0.6854333281517029,0.9887098670005798,0.6754999756813049
12,13,4200,10,5,23.596771001815796,0.9597992300987244,0.6858166456222534,0.9836130738258362,0.6807000041007996
13,14,4200,10,5,23.596771001815796,0.9580749869346619,0.6894999742507935,0.9856414794921875,0.680400013923645
14,15,4200,10,5,23.596771001815796,0.9566940665245056,0.689216673374176,0.9882777333259583,0.6805999875068665
15,16,4200,10,5,23.596771001815796,0.9553170800209045,0.689716637134552,0.9843363165855408,0.6865000128746033
16,17,4200,10,5,23.596771001815796,0.9547737240791321,0.69118332862854,0.9891211986541748,0.6830000281333923
17,18,4200,10,5,23.596771001815796,0.954245924949646,0.6924166679382324,0.9837464094161987,0.6858000159263611
18,19,4200,10,5,23.596771001815796,0.9531029462814331,0.6929166913032532,0.9882528185844421,0.6830000281333923
19,20,4200,10,5,23.596771001815796,0.9521076083183289,0.6937000155448914,0.9870284199714661,0.6881999969482422
20,21,4200,10,5,23.596771001815796,0.9515838623046875,0.6943166851997375,0.9865446090698242,0.6887999773025513
21,22,4200,10,5,23.596771001815796,0.9509055614471436,0.696483314037323,0.9894334673881531,0.6888999938964844
22,23,4200,10,5,23.596771001815796,0.9489638209342957,0.6983333230018616,0.9860919117927551,0.6909000277519226
23,24,4200,10,5,23.596771001815796,0.9465353488922119,0.7014333605766296,0.981543242931366,0.6970999836921692
24,25,4200,10,5,23.596771001815796,0.9343487620353699,0.7059999704360962,0.9452484250068665,0.707099974155426
25,26,4200,10,5,23.596771001815796,0.8251122236251831,0.7388499975204468,0.7835800647735596,0.7509999871253967
26,27,4200,10,5,23.596771001815796,0.7276949882507324,0.7682333588600159,0.7278631329536438,0.776199996471405
27,28,4200,10,5,23.596771001815796,0.691160261631012,0.7842833399772644,0.6997450590133667,0.7843999862670898
28,29,4200,10,5,23.596771001815796,0.6655728220939636,0.7977166771888733,0.6773259043693542,0.8009999990463257
29,30,4200,10,5,23.596771001815796,0.6462464332580566,0.8080499768257141,0.6606140732765198,0.810699999332428
30,31,4200,10,5,23.596771001815796,0.6314316391944885,0.8128499984741211,0.6482266187667847,0.8137000203132629
31,32,4200,10,5,23.596771001815796,0.6222692728042603,0.8157666921615601,0.6353979706764221,0.8199999928474426
32,33,4200,10,5,23.596771001815796,0.6156238913536072,0.8197166919708252,0.6320711374282837,0.8206999897956848
33,34,4200,10,5,23.596771001815796,0.6117517948150635,0.8205999732017517,0.6243663430213928,0.8176000118255615
34,35,4200,10,5,23.596771001815796,0.6089072823524475,0.8212000131607056,0.6281302571296692,0.8162999749183655
35,36,4200,10,5,23.596771001815796,0.6068934798240662,0.8220666646957397,0.6199501752853394,0.8228999972343445
36,37,4200,10,5,23.596771001815796,0.6053236126899719,0.822616696357727,0.6198530197143555,0.8220999836921692
37,38,4200,10,5,23.596771001815796,0.6039661169052124,0.8235833048820496,0.619093656539917,0.8220000267028809
38,39,4200,10,5,23.596771001815796,0.602634847164154,0.8236500024795532,0.6193463206291199,0.8192999958992004
39,40,4200,10,5,23.596771001815796,0.6018764972686768,0.823366641998291,0.6172637343406677,0.820900022983551
40,41,4200,10,5,23.596771001815796,0.6016855835914612,0.8234166502952576,0.6151624917984009,0.8198000192642212
41,42,4200,10,5,23.596771001815796,0.6007129549980164,0.8233000040054321,0.6237310171127319,0.8184999823570251
42,43,4200,10,5,23.596771001815796,0.6008252501487732,0.8236666917800903,0.615883469581604,0.820900022983551
43,44,4200,10,5,23.596771001815796,0.5996054410934448,0.8234333395957947,0.6155710220336914,0.8216999769210815
44,45,4200,10,5,23.596771001815796,0.5996041297912598,0.8238833546638489,0.6171560287475586,0.823199987411499
45,46,4200,10,5,23.596771001815796,0.5987306833267212,0.8235999941825867,0.6208823323249817,0.8201000094413757
46,47,4200,10,5,23.596771001815796,0.5985324382781982,0.8242166638374329,0.617435872554779,0.819599986076355
47,48,4200,10,5,23.596771001815796,0.5980532765388489,0.8235499858856201,0.6231421828269958,0.8213000297546387
48,49,4200,10,5,23.596771001815796,0.5978255271911621,0.8230666518211365,0.6155411601066589,0.8209999799728394
49,50,4200,10,5,23.596771001815796,0.5975353717803955,0.8236833214759827,0.6169887781143188,0.8205999732017517
