epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,60,60,200,10,0.22609999775886536,2.061978816986084,0.3091000020503998,1.9012337923049927,3.9921324,3.9214532,4.734038,2.1096034
1,60,60,200,10,0.3204199969768524,1.8769456148147583,0.3506999909877777,1.7894493341445923,3.934864,3.8680203,4.6329145,2.1041255
2,60,60,200,10,0.35293999314308167,1.784980058670044,0.31279999017715454,1.9133787155151367,3.886263,3.8329277,4.5635724,2.1046991
3,60,60,200,10,0.38242000341415405,1.7137879133224487,0.3933999836444855,1.6743495464324951,3.8476312,3.7950096,4.4998236,2.090407
4,60,60,200,10,0.40525999665260315,1.6544777154922485,0.37939998507499695,1.7057987451553345,3.8116994,3.7633119,4.444266,2.1052516
5,60,60,200,10,0.42263999581336975,1.606215238571167,0.4195999801158905,1.6060253381729126,3.7822287,3.7375596,4.400075,2.1030712
6,60,60,200,10,0.43772000074386597,1.5639384984970093,0.4510999917984009,1.550901174545288,3.7524939,3.7187934,4.354059,2.108905
7,60,60,200,10,0.45080000162124634,1.5298421382904053,0.4400999844074249,1.5711687803268433,3.7287536,3.7031577,4.306865,2.1150498
8,60,60,200,10,0.460239976644516,1.5029784440994263,0.45080000162124634,1.5397671461105347,3.7098465,3.6931832,4.2718887,2.1141162
9,60,60,200,10,0.47015997767448425,1.4766650199890137,0.44929999113082886,1.5637423992156982,3.693785,3.6824872,4.2432256,2.1020517
10,60,60,200,10,0.47991999983787537,1.4532171487808228,0.4702000021934509,1.4851276874542236,3.6799843,3.675083,4.213407,2.1085646
11,60,60,200,10,0.48673999309539795,1.429821491241455,0.4664999842643738,1.5090478658676147,3.668569,3.6745136,4.1930737,2.105755
12,60,60,200,10,0.49483999609947205,1.4107277393341064,0.4836999773979187,1.4548181295394897,3.6590602,3.66909,4.174389,2.1273441
13,60,60,200,10,0.5036599636077881,1.3877090215682983,0.4903999865055084,1.4295405149459839,3.651082,3.6701329,4.1607437,2.1314473
14,60,60,200,10,0.5084199905395508,1.3716459274291992,0.487199991941452,1.4481104612350464,3.6467752,3.6681442,4.1434083,2.1362352
15,60,60,200,10,0.5131799578666687,1.3500570058822632,0.4575999975204468,1.5606993436813354,3.6401224,3.6690598,4.127975,2.144957
16,60,60,200,10,0.5232999920845032,1.3358691930770874,0.4869999885559082,1.4377152919769287,3.635546,3.6742623,4.116968,2.1330554
17,60,60,200,10,0.18789999186992645,8.046462059020996,0.09919999539852142,3.0840463638305664,2.850394,3.4725842,3.894027,1.8820751
18,60,60,200,10,0.09919999539852142,34.583900451660156,0.10130000114440918,6.466810703277588,1.8632832,3.1136968,3.4036162,1.4390727
19,60,60,200,10,0.09939999878406525,96.8388900756836,0.10040000081062317,3.820075750350952,1.4088047,2.6981707,3.0076072,0.91634506
20,60,60,200,10,0.09963999688625336,27.181501388549805,0.09889999777078629,4.9188337326049805,1.3406628,2.4815028,2.4353023,0.5194833
21,60,60,200,10,0.09761999547481537,120.0593490600586,0.09759999811649323,4.451878070831299,1.2167891,2.2896695,1.8665556,0.6084001
22,60,60,200,10,0.09826000034809113,308.67755126953125,0.09719999879598618,3.8595800399780273,1.1385516,2.1339362,1.450043,0.50491655
23,60,60,200,10,0.09969999641180038,605.6980590820312,0.10040000081062317,4.1203813552856445,0.9962219,1.9780014,1.111876,0.64176506
24,60,60,200,10,0.09933999925851822,1595.80126953125,0.10109999775886536,7.069072246551514,0.92499405,1.8650849,0.9327179,0.62674004
25,60,60,200,10,0.09981999546289444,3040.657958984375,0.09809999912977219,9.382183074951172,0.879897,1.7839518,0.8081466,0.602231
26,60,60,200,10,0.10037999600172043,4064.93408203125,0.09999999403953552,9.172968864440918,0.8577844,1.7323576,0.7244418,0.6577648
27,60,60,200,10,0.09835999459028244,2991.530517578125,0.10099999606609344,7.266404628753662,0.859116,1.6945412,0.6846418,0.63504994
28,60,60,200,10,0.1004600003361702,13245.61328125,0.10109999775886536,6.931188106536865,0.881286,1.6296964,0.6189672,0.7635961
29,60,60,200,10,0.10019999742507935,6773.74365234375,0.10419999808073044,7.701488971710205,0.82260984,1.5661095,0.5789127,0.7250005
