epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,80,80,30,10,0.2003600001335144,2.087953805923462,0.2654999792575836,1.9850080013275146,4.210967,4.094986,3.2871363,2.0607183
1,80,80,30,10,0.310839980840683,1.886130452156067,0.3130999803543091,1.8811341524124146,4.1363616,3.9920237,3.2531674,2.124461
2,80,80,30,10,0.3530399799346924,1.78755521774292,0.33959999680519104,1.8370074033737183,4.077787,3.940722,3.2352614,2.139617
3,80,80,30,10,0.3807399868965149,1.7140830755233765,0.40639999508857727,1.6932859420776367,4.0329576,3.889849,3.2222428,2.1421156
4,80,80,30,10,0.4035399854183197,1.6538197994232178,0.3529999852180481,1.79522705078125,3.9815032,3.8447385,3.2055554,2.1474156
5,80,80,30,10,0.42253997921943665,1.6067814826965332,0.42569997906684875,1.5946974754333496,3.9348547,3.8175206,3.1956458,2.1543493
6,80,80,30,10,0.4379599988460541,1.5640690326690674,0.42319998145103455,1.5822153091430664,3.899524,3.7944465,3.187531,2.1572387
7,80,80,30,10,0.4497799873352051,1.5349446535110474,0.4478999972343445,1.5440638065338135,3.8680432,3.7735157,3.1747634,2.1528044
8,80,80,30,10,0.4655599892139435,1.5014482736587524,0.4309999942779541,1.5915414094924927,3.842846,3.762017,3.1633525,2.1519907
9,80,80,30,10,0.4728599786758423,1.4764128923416138,0.4440999925136566,1.577447772026062,3.821327,3.7534714,3.1560526,2.147905
10,80,80,30,10,0.48093998432159424,1.450228214263916,0.4693000018596649,1.4764864444732666,3.803996,3.7479432,3.1456013,2.1577463
11,80,80,30,10,0.48975998163223267,1.4289376735687256,0.48539999127388,1.4483546018600464,3.7901123,3.7419534,3.1438766,2.141765
12,80,80,30,10,0.4976799786090851,1.410828709602356,0.4876999855041504,1.4681508541107178,3.7767496,3.7397733,3.1380196,2.1480513
13,80,80,30,10,0.5029599666595459,1.3851666450500488,0.4732999801635742,1.4911342859268188,3.766962,3.7367532,3.1341906,2.144129
14,80,80,30,10,0.5097599625587463,1.3686907291412354,0.4804999828338623,1.4641177654266357,3.7593014,3.737522,3.131392,2.1443985
15,80,80,30,10,0.5201399922370911,1.348118543624878,0.5011000037193298,1.415323257446289,3.7516935,3.7344587,3.1272588,2.1294956
16,80,80,30,10,0.5229600071907043,1.3322749137878418,0.48169997334480286,1.4388322830200195,3.745248,3.7368827,3.123802,2.1370544
17,80,80,30,10,0.5270999670028687,1.316677451133728,0.4927999973297119,1.4262560606002808,3.7395685,3.7424545,3.1202204,2.1381917
18,80,80,30,10,0.5373600125312805,1.295754313468933,0.5041999816894531,1.390231728553772,3.7360234,3.7456872,3.1193132,2.1339886
19,80,80,30,10,0.5420399904251099,1.2796108722686768,0.5090999603271484,1.416683316230774,3.7316313,3.749595,3.11605,2.1304035
20,80,80,30,10,0.5457199811935425,1.2700804471969604,0.502299964427948,1.4039963483810425,3.7289717,3.7567923,3.1155927,2.1373484
21,80,80,30,10,0.5511400103569031,1.2519856691360474,0.483599990606308,1.4763027429580688,3.7282588,3.7616684,3.1175265,2.1319451
22,80,80,30,10,0.5561599731445312,1.237998604774475,0.494299978017807,1.4396729469299316,3.7277477,3.7679935,3.1171427,2.1271112
23,80,80,30,10,0.5585799813270569,1.223239541053772,0.5218999981880188,1.394387125968933,3.7269893,3.7732701,3.1176198,2.128881
24,80,80,30,10,0.5651000142097473,1.2088669538497925,0.5169000029563904,1.3705958127975464,3.7279508,3.7814443,3.1225047,2.1269388
25,80,80,30,10,0.5712599754333496,1.1960644721984863,0.4989999830722809,1.4636231660842896,3.727545,3.7880669,3.1219,2.1318803
26,80,80,30,10,0.5767199993133545,1.1874983310699463,0.4975999891757965,1.4280744791030884,3.727284,3.7969534,3.1242175,2.1298926
27,80,80,30,10,0.58024001121521,1.1665246486663818,0.5026000142097473,1.4641270637512207,3.728626,3.80372,3.125214,2.1279159
28,80,80,30,10,0.5821999907493591,1.1596883535385132,0.5234000086784363,1.3629188537597656,3.729617,3.8089683,3.128253,2.1275625
29,80,80,30,10,0.589739978313446,1.1392838954925537,0.5120999813079834,1.4172024726867676,3.7307649,3.8139899,3.1322079,2.1327305
