,epoch,rank1,rank2,acc,loss,val_acc,val_loss,layer_1_eff_rank,layer_3_eff_rank
23,23,100,10,0.5631399750709534,1.2298582792282104,0.4925999939441681,1.460992455482483,3.9111996,2.1250663
24,24,100,10,0.5696399807929993,1.2185770273208618,0.4948000013828277,1.4263441562652588,3.913311,2.1303315
25,25,100,10,0.5697000026702881,1.2114027738571167,0.5126999616622925,1.389132738113403,3.91505,2.127893
26,26,100,10,0.5733999609947205,1.2021234035491943,0.5130000114440918,1.385155439376831,3.9186423,2.123026
27,27,100,10,0.5767199993133545,1.1910626888275146,0.5212000012397766,1.3746732473373413,3.920684,2.1258655
28,28,100,10,0.5798999667167664,1.1844875812530518,0.5236999988555908,1.3645403385162354,3.9249547,2.1268303
29,29,100,10,0.5818799734115601,1.173317313194275,0.5241000056266785,1.3775672912597656,3.929595,2.1165195
30,30,100,10,0.5874599814414978,1.164616346359253,0.5098000168800354,1.3954274654388428,3.9328969,2.118856
31,31,100,10,0.5893399715423584,1.1587603092193604,0.5221999883651733,1.372797608375549,3.9378567,2.1120658
32,32,100,10,0.5899199843406677,1.1501704454421997,0.5171999931335449,1.3907363414764404,3.9406536,2.1160326
33,33,100,10,0.5945999622344971,1.1412358283996582,0.5216000080108643,1.36599600315094,3.9453537,2.1149812
34,34,100,10,0.5959199666976929,1.136478066444397,0.5218999981880188,1.38634991645813,3.9505315,2.1146286
35,35,100,10,0.5988999605178833,1.123522162437439,0.5083999633789062,1.4008557796478271,3.955732,2.1113808
36,36,100,10,0.6030600070953369,1.119780659675598,0.5277000069618225,1.3675206899642944,3.960763,2.1065857
37,37,100,10,0.6036199927330017,1.1132243871688845,0.5083999633789062,1.4248147010803225,3.965151,2.1105
38,38,100,10,0.6092000007629395,1.1033769845962524,0.5285999774932861,1.363987922668457,3.9700785,2.106907
39,39,100,10,0.6090199947357178,1.0962270498275757,0.5178999900817871,1.4072374105453491,3.9753544,2.1059084
40,40,100,10,0.6129999756813049,1.089182734489441,0.505299985408783,1.4673659801483154,3.980418,2.101789
41,41,100,10,0.6151399612426758,1.0828667879104614,0.5239999890327454,1.3956959247589111,3.9849117,2.1008255
42,42,100,10,0.6181399822235107,1.0753401517868042,0.5277999639511108,1.379080295562744,3.9896643,2.1018732
43,43,100,10,0.6197999715805054,1.0708949565887451,0.5099999904632568,1.4549142122268677,3.994546,2.1013741
44,44,100,10,0.6217799782752991,1.0643856525421145,0.5044999718666077,1.4488767385482788,3.9989986,2.096999
45,45,100,10,0.6235600113868713,1.0576034784317017,0.5181999802589417,1.415007472038269,4.0037627,2.0986676
46,46,100,10,0.628879964351654,1.0490714311599731,0.5282999873161316,1.3887137174606323,4.007928,2.0973048
47,47,100,10,0.6273399591445923,1.0442776679992676,0.5166000127792358,1.4230071306228638,4.0130544,2.0947993
48,48,100,10,0.6294400095939636,1.0408604145050049,0.5266000032424927,1.3991507291793823,4.017796,2.0981271
49,49,100,10,0.6323800086975098,1.0308372974395752,0.5352999567985535,1.381496548652649,4.0225277,2.0975697
0,0,100,5,0.267439991235733,1.9963388442993164,0.3175999820232391,1.8892364501953125,4.368725,1.5583203
1,1,100,5,0.34647998213768,1.8021104335784912,0.350600004196167,1.7863038778305054,4.249852,1.557478
2,2,100,5,0.3784599900245666,1.7236182689666748,0.3999999761581421,1.6742910146713257,4.167685,1.5542375
3,3,100,5,0.3956199884414673,1.667219161987305,0.3960999846458435,1.6560503244400024,4.093243,1.5632535
4,4,100,5,0.4137399792671203,1.6258087158203125,0.4050000011920929,1.6219664812088013,4.0421224,1.5711751
5,5,100,5,0.4242199957370758,1.589757204055786,0.4206999838352203,1.6237907409667969,3.9972613,1.5747082
6,6,100,5,0.436739981174469,1.5615557432174685,0.4257999956607818,1.6007124185562134,3.960063,1.5778505
7,7,100,5,0.4472799897193908,1.5377527475357056,0.4459999799728393,1.5642293691635132,3.9299884,1.5777246
8,8,100,5,0.4528599977493286,1.516905426979065,0.4149999916553497,1.6350351572036743,3.905384,1.5773441
9,9,100,5,0.459199994802475,1.497505784034729,0.4441999793052673,1.554452657699585,3.8851874,1.5749172
10,10,100,5,0.46765998005867,1.478808879852295,0.4449999928474426,1.5840749740600586,3.8702452,1.5751334
11,11,100,5,0.4743799865245819,1.463924527168274,0.4514999985694885,1.5290125608444214,3.851945,1.5735767
12,12,100,5,0.4754599928855896,1.4453567266464231,0.4555999934673309,1.5213123559951782,3.8390398,1.5754106
13,13,100,5,0.483159989118576,1.4316060543060305,0.4494999945163727,1.5340582132339478,3.8277152,1.574575
14,14,100,5,0.4872399866580963,1.4221445322036743,0.4659999907016754,1.5038909912109375,3.8196871,1.5746326
15,15,100,5,0.4919799864292145,1.4087435007095337,0.4704999923706054,1.4971119165420532,3.8110938,1.569921
16,16,100,5,0.4967999756336212,1.3961468935012815,0.4617999792098999,1.5295270681381226,3.806199,1.5720102
17,17,100,5,0.5005999803543091,1.383955717086792,0.4820999801158905,1.4574050903320312,3.802558,1.5734493
18,18,100,5,0.5036199688911438,1.3718892335891724,0.4845999777317047,1.4419422149658203,3.801538,1.5718042
19,19,100,5,0.5096200108528137,1.3613946437835691,0.4767999947071075,1.4667845964431765,3.8000677,1.5721972
20,20,100,5,0.5125600099563599,1.350652813911438,0.4617999792098999,1.5047712326049805,3.7993157,1.5706718
21,21,100,5,0.5159400105476379,1.3391183614730835,0.4806999862194061,1.4650869369506836,3.798627,1.5713229
22,22,100,5,0.5203799605369568,1.328587293624878,0.4879999756813049,1.4397146701812744,3.799639,1.5707306
23,23,100,5,0.5219799876213074,1.3213430643081665,0.4892999827861786,1.427774429321289,3.7998347,1.5698807
24,24,100,5,0.5232599973678589,1.3111484050750732,0.48989999294281,1.4408063888549805,3.8015027,1.5723714
25,25,100,5,0.5276600122451782,1.3044036626815796,0.4861999750137329,1.4492141008377075,3.8037477,1.5680611
26,26,100,5,0.5323799848556519,1.2936867475509644,0.4963999986648559,1.4079749584197998,3.8077345,1.567365
27,27,100,5,0.5327000021934509,1.285645842552185,0.4845999777317047,1.4722813367843628,3.8115227,1.5701597
28,28,100,5,0.5374199748039246,1.274299383163452,0.461899995803833,1.510928750038147,3.814471,1.5713127
29,29,100,5,0.5397799611091614,1.2686419486999512,0.4916999936103821,1.4390121698379517,3.8169043,1.5689256
30,30,100,5,0.5433399677276611,1.261091947555542,0.4763000011444092,1.4938123226165771,3.8217623,1.567001
31,31,100,5,0.5456199645996094,1.252028226852417,0.4916999936103821,1.4352595806121826,3.8257418,1.5699074
32,32,100,5,0.5483199954032898,1.2444201707839966,0.4852999746799469,1.4338489770889282,3.8297446,1.5684326
33,33,100,5,0.5523999929428101,1.236907124519348,0.4829999804496765,1.4771318435668943,3.8334107,1.5660774
34,34,100,5,0.5539000034332275,1.229608416557312,0.4657999873161316,1.5160740613937378,3.8377886,1.564711
35,35,100,5,0.555899977684021,1.2260003089904783,0.5013999938964844,1.3985979557037354,3.842284,1.5636171
36,36,100,5,0.55867999792099,1.2152321338653564,0.4941999912261963,1.416415452957153,3.8471007,1.5660268
37,37,100,5,0.5604000091552734,1.2099617719650269,0.5029999613761902,1.4144190549850464,3.8519478,1.5627115
38,38,100,5,0.5644800066947937,1.2002626657485962,0.4925999939441681,1.467041015625,3.856044,1.5614376
39,39,100,5,0.5678799748420715,1.1941572427749634,0.4513999819755554,1.6025866270065308,3.8610926,1.5596316
40,40,100,5,0.5676999688148499,1.1874278783798218,0.4927999973297119,1.4588744640350342,3.8660128,1.557316
41,41,100,5,0.5707799792289734,1.1788960695266724,0.5024999976158142,1.4189612865447998,3.8707757,1.5605348
42,42,100,5,0.5730999708175659,1.1783652305603027,0.4834999740123749,1.4798798561096191,3.8765104,1.5573654
43,43,100,5,0.576479971408844,1.166507363319397,0.4821999967098236,1.5025607347488403,3.8816786,1.5583476
44,44,100,5,0.5764399766921997,1.1636234521865845,0.5034999847412109,1.4308218955993652,3.8872504,1.5532835
45,45,100,5,0.5761799812316895,1.1582201719284058,0.499099999666214,1.446092963218689,3.892607,1.5551792
46,46,100,5,0.5789999961853027,1.1520533561706543,0.5137999653816223,1.3992797136306765,3.8976705,1.5519563
47,47,100,5,0.5852599740028381,1.145530343055725,0.4905999898910522,1.454907774925232,3.9024935,1.5483922
48,48,100,5,0.5844799876213074,1.1394145488739014,0.496999979019165,1.4491177797317505,3.9075615,1.5521874
49,49,100,5,0.5873000025749207,1.1334134340286257,0.4896999895572662,1.4677828550338743,3.912621,1.5522444
0,0,10,10,0.2550999820232391,2.0107204914093018,0.3012999892234802,1.915613055229187,2.2202828,1.929058
1,1,10,10,0.3364199995994568,1.826665997505188,0.3581999838352203,1.7762329578399658,2.2208667,1.9212488
2,2,10,10,0.3682999908924103,1.74921715259552,0.3925999999046325,1.6963393688201904,2.233765,1.9408703
3,3,10,10,0.3870799839496612,1.6958990097045898,0.3990999758243561,1.6604708433151243,2.2500076,1.9457449
4,4,10,10,0.4037199914455414,1.6562949419021606,0.3944999873638153,1.71011483669281,2.2627459,1.9514989
5,5,10,10,0.4156999886035919,1.6236076354980469,0.4181999862194061,1.6165169477462769,2.268698,1.9752525
6,6,10,10,0.4244399964809418,1.5985777378082275,0.4248999953269958,1.6031521558761597,2.27179,1.9804324
7,7,10,10,0.4313399791717529,1.579423427581787,0.4343999922275543,1.585535168647766,2.2737274,1.9935778
8,8,10,10,0.4365399777889251,1.5637832880020142,0.4244000017642975,1.6002074480056765,2.2738063,2.00287
