epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,60,80,40,10,0.22217999398708344,2.0619149208068848,0.23999999463558197,2.0410494804382324,3.9729955,4.079292,3.5467453,2.00129
1,60,80,40,10,0.30855998396873474,1.886460304260254,0.26579999923706055,2.0257301330566406,3.9154046,3.9936213,3.5174932,1.975894
2,60,80,40,10,0.3450799882411957,1.7992066144943237,0.3570999801158905,1.7691370248794556,3.8676214,3.9337137,3.491712,1.9864619
3,60,80,40,10,0.37248000502586365,1.7260631322860718,0.39159998297691345,1.7121806144714355,3.8295338,3.8811314,3.4667864,1.9873734
4,60,80,40,10,0.39824000000953674,1.6658744812011719,0.4034000039100647,1.6452181339263916,3.791023,3.8260274,3.4403822,2.0173683
5,60,80,40,10,0.417279988527298,1.6162296533584595,0.4171999990940094,1.601440668106079,3.7612324,3.800254,3.429359,2.0407953
6,60,80,40,10,0.43347999453544617,1.5731407403945923,0.4250999987125397,1.591953992843628,3.7355952,3.773265,3.4120655,2.049678
7,60,80,40,10,0.4432399868965149,1.5420044660568237,0.4477999806404114,1.5579702854156494,3.7127106,3.755437,3.4012535,2.0561473
8,60,80,40,10,0.45791998505592346,1.5053788423538208,0.4195999801158905,1.634487509727478,3.6922824,3.735618,3.3872993,2.0714052
9,60,80,40,10,0.47015997767448425,1.4790451526641846,0.43799999356269836,1.5578415393829346,3.6750333,3.721521,3.3782015,2.079221
10,60,80,40,10,0.4781399965286255,1.4560564756393433,0.4494999945163727,1.5683220624923706,3.662813,3.7176003,3.3730516,2.0801203
11,60,80,40,10,0.48848000168800354,1.433386206626892,0.45889997482299805,1.519415259361267,3.6483505,3.7092094,3.3646226,2.0838392
12,60,80,40,10,0.4939799904823303,1.411255955696106,0.45479997992515564,1.5412696599960327,3.6401687,3.7041159,3.3597882,2.0833
13,60,80,40,10,0.5016999840736389,1.3915992975234985,0.48159998655319214,1.4765874147415161,3.631389,3.7054996,3.3569553,2.0973191
14,60,80,40,10,0.5099200010299683,1.3712540864944458,0.4632999897003174,1.5090581178665161,3.626232,3.7047548,3.350472,2.0925293
15,60,80,40,10,0.516319990158081,1.3527311086654663,0.47859999537467957,1.4626853466033936,3.6211255,3.7088113,3.3524637,2.1004088
16,60,80,40,10,0.5200799703598022,1.3369367122650146,0.4702000021934509,1.481502652168274,3.6153057,3.7134407,3.347632,2.1005576
17,60,80,40,10,0.5260199904441833,1.3186687231063843,0.48889997601509094,1.4640166759490967,3.6122553,3.721815,3.3474236,2.1040397
18,60,80,40,10,0.5328199863433838,1.3011624813079834,0.5022000074386597,1.4174309968948364,3.609953,3.7287042,3.3455074,2.1115932
19,60,80,40,10,0.5355600118637085,1.2887563705444336,0.4846999943256378,1.4682366847991943,3.6098773,3.7353828,3.3478708,2.112429
20,60,80,40,10,0.5439800024032593,1.271984338760376,0.46709999442100525,1.5153934955596924,3.6097243,3.741105,3.347846,2.1076329
21,60,80,40,10,0.5473399758338928,1.2578554153442383,0.49719998240470886,1.4529303312301636,3.609562,3.7472758,3.3493083,2.1051059
22,60,80,40,10,0.552619993686676,1.2415138483047485,0.5034999847412109,1.4228016138076782,3.6108985,3.7533498,3.3515286,2.104469
23,60,80,40,10,0.5598199963569641,1.225188136100769,0.5198999643325806,1.3805701732635498,3.610438,3.760388,3.3535109,2.1056883
24,60,80,40,10,0.5641599893569946,1.2112784385681152,0.5155999660491943,1.3930760622024536,3.6127658,3.765525,3.3578954,2.1163654
25,60,80,40,10,0.5687599778175354,1.1958290338516235,0.5103999972343445,1.4244866371154785,3.6145585,3.7699156,3.3597236,2.1234634
26,60,80,40,10,0.5751599669456482,1.1864985227584839,0.49709999561309814,1.4662092924118042,3.6164134,3.7775552,3.3630362,2.1286135
27,60,80,40,10,0.5763999819755554,1.1733102798461914,0.4843999743461609,1.5292057991027832,3.6165485,3.785617,3.3658812,2.1318567
28,60,80,40,10,0.58024001121521,1.1579254865646362,0.4916999936103821,1.4479963779449463,3.617361,3.792991,3.36899,2.1405118
29,60,80,40,10,0.5868399739265442,1.1455910205841064,0.5148000121116638,1.3920189142227173,3.618686,3.7994728,3.3745632,2.1410332
