epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,80,60,120,10,0.2409599870443344,2.0367305278778076,0.27539998292922974,1.97923743724823,4.239553,3.9095533,4.459543,2.0461223
1,80,60,120,10,0.32495999336242676,1.8601109981536865,0.3431999981403351,1.8159412145614624,4.1712575,3.8652878,4.393389,2.0608137
2,80,60,120,10,0.35923999547958374,1.7688682079315186,0.37199997901916504,1.756004810333252,4.1179276,3.8264487,4.3462057,2.062182
3,80,60,120,10,0.3925599753856659,1.691482663154602,0.3854999840259552,1.6829794645309448,4.066934,3.7896354,4.288282,2.0802295
4,80,60,120,10,0.41043999791145325,1.6376250982284546,0.3905999958515167,1.6530691385269165,4.014079,3.7636573,4.242545,2.1038458
5,80,60,120,10,0.42413997650146484,1.597227931022644,0.40230000019073486,1.6818132400512695,3.9717855,3.7447605,4.2150855,2.1133919
6,80,60,120,10,0.44095999002456665,1.556614637374878,0.44119998812675476,1.5710554122924805,3.9344118,3.7279565,4.183962,2.1155531
7,80,60,120,10,0.4526199996471405,1.5249959230422974,0.4405999779701233,1.5831072330474854,3.9009044,3.7106166,4.155502,2.1239965
8,80,60,120,10,0.4630599915981293,1.4975805282592773,0.435699999332428,1.5774279832839966,3.8764699,3.6945999,4.1322055,2.1216178
9,80,60,120,10,0.4776799976825714,1.4648628234863281,0.4717999994754791,1.4827806949615479,3.8547351,3.686561,4.1127753,2.1263726
10,80,60,120,10,0.4825799763202667,1.441852331161499,0.45879998803138733,1.5258642435073853,3.8357973,3.6803184,4.093827,2.1293185
11,80,60,120,10,0.48941999673843384,1.4228565692901611,0.4296000003814697,1.622902512550354,3.8186514,3.6731222,4.0805974,2.130704
12,80,60,120,10,0.5014399886131287,1.396121859550476,0.4617999792098999,1.501968502998352,3.80645,3.6692302,4.0648465,2.1304219
13,80,60,120,10,0.5067200064659119,1.3812055587768555,0.4764999747276306,1.4863945245742798,3.7965443,3.6687343,4.055472,2.1220076
14,80,60,120,10,0.5115199685096741,1.359967827796936,0.4764999747276306,1.4737350940704346,3.787845,3.6710358,4.045265,2.121257
15,80,60,120,10,0.5190600156784058,1.3406541347503662,0.484499990940094,1.4609655141830444,3.7801392,3.6711514,4.037944,2.1284351
16,80,60,120,10,0.5250399708747864,1.3223788738250732,0.4846999943256378,1.4521315097808838,3.775057,3.6710217,4.0326276,2.1393812
17,80,60,120,10,0.5304399728775024,1.3104133605957031,0.47909998893737793,1.4775208234786987,3.7712476,3.673723,4.023506,2.134302
18,80,60,120,10,0.5338799953460693,1.2919495105743408,0.4666999876499176,1.5136502981185913,3.7686577,3.6750023,4.0183573,2.1428812
19,80,60,120,10,0.5418999791145325,1.2743691205978394,0.5108000040054321,1.428525447845459,3.7658346,3.6796424,4.016449,2.1475189
20,80,60,120,10,0.5468199849128723,1.2640049457550049,0.5127999782562256,1.4263453483581543,3.7643483,3.6836846,4.017386,2.1501095
21,80,60,120,10,0.5540599822998047,1.245851755142212,0.4876999855041504,1.4425718784332275,3.7639022,3.6874895,4.0158887,2.1563368
22,80,60,120,10,0.5583999752998352,1.230350375175476,0.5074999928474426,1.4349781274795532,3.7603066,3.6918652,4.01368,2.1596859
23,80,60,120,10,0.5607799887657166,1.218279480934143,0.49969998002052307,1.4312819242477417,3.7607353,3.6973944,4.0132475,2.1664436
24,80,60,120,10,0.5679000020027161,1.1992676258087158,0.4957999885082245,1.464324712753296,3.7598193,3.7006447,4.0130124,2.1617622
25,80,60,120,10,0.5751399993896484,1.1808092594146729,0.5121999979019165,1.404659628868103,3.7597258,3.7052877,4.012703,2.1699898
26,80,60,120,10,0.5791800022125244,1.169685959815979,0.49719998240470886,1.4360431432724,3.7604506,3.7124217,4.019386,2.175492
27,80,60,120,10,0.5809599757194519,1.1592103242874146,0.46239998936653137,1.586818814277649,3.7613661,3.716816,4.020523,2.1752408
28,80,60,120,10,0.5869199633598328,1.1414564847946167,0.49779999256134033,1.4282368421554565,3.7621176,3.7214715,4.0220985,2.1764011
29,80,60,120,10,0.5929399728775024,1.1288964748382568,0.5033000111579895,1.4181746244430542,3.7620344,3.724923,4.0272045,2.190774
