epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,80,80,20,10,0.2054399996995926,2.0769004821777344,0.2655999958515167,1.9780387878417969,4.206664,4.0655856,2.900127,2.018878
1,80,80,20,10,0.29875999689102173,1.9000324010849,0.32089999318122864,1.8514626026153564,4.144073,3.9840748,2.879505,2.042683
2,80,80,20,10,0.3388800024986267,1.8145372867584229,0.3376999795436859,1.8001333475112915,4.0832934,3.91423,2.8714654,2.0452592
3,80,80,20,10,0.3677600026130676,1.73860764503479,0.36969998478889465,1.709148645401001,4.031352,3.8476558,2.8565063,2.0341895
4,80,80,20,10,0.39403998851776123,1.6738076210021973,0.39559999108314514,1.6688193082809448,3.9850125,3.8063812,2.8483486,2.042571
5,80,80,20,10,0.41259998083114624,1.6190552711486816,0.42819997668266296,1.615257978439331,3.9399989,3.7698052,2.840329,2.0613484
6,80,80,20,10,0.4297599792480469,1.5821868181228638,0.42339998483657837,1.6236968040466309,3.9053464,3.7404885,2.8344977,2.081858
7,80,80,20,10,0.442579984664917,1.5487184524536133,0.4472000002861023,1.5475069284439087,3.8772857,3.7224324,2.8286817,2.0947158
8,80,80,20,10,0.4550599753856659,1.5175212621688843,0.4616999924182892,1.5101885795593262,3.851384,3.7131271,2.8230317,2.0974646
9,80,80,20,10,0.46445998549461365,1.489898443222046,0.42149999737739563,1.6408038139343262,3.8287065,3.701457,2.8204803,2.09893
10,80,80,20,10,0.4729599952697754,1.464921474456787,0.46289998292922974,1.5130857229232788,3.809491,3.6959271,2.8185833,2.1040468
11,80,80,20,10,0.482699990272522,1.4436109066009521,0.4693000018596649,1.5014231204986572,3.7924879,3.6916208,2.815396,2.1024556
12,80,80,20,10,0.49164000153541565,1.42244291305542,0.4625999927520752,1.5011056661605835,3.7801218,3.687653,2.812516,2.1036263
13,80,80,20,10,0.49671998620033264,1.403531551361084,0.4805999994277954,1.4542961120605469,3.766538,3.6857262,2.810531,2.1151595
14,80,80,20,10,0.5038999915122986,1.386813759803772,0.4761999845504761,1.4729487895965576,3.7590182,3.6895027,2.8116655,2.106515
15,80,80,20,10,0.5103999972343445,1.3665516376495361,0.48330000042915344,1.434975028038025,3.751097,3.691045,2.8110628,2.1103935
16,80,80,20,10,0.5152599811553955,1.348214030265808,0.4975999891757965,1.4167479276657104,3.7443442,3.690573,2.8115187,2.1172085
17,80,80,20,10,0.5230199694633484,1.3319544792175293,0.4908999800682068,1.443388819694519,3.7387857,3.6937432,2.812467,2.1150908
18,80,80,20,10,0.5296399593353271,1.3115119934082031,0.4781999886035919,1.4603432416915894,3.7353427,3.69944,2.8142438,2.1097395
19,80,80,20,10,0.5327999591827393,1.2973896265029907,0.4737999737262726,1.4910532236099243,3.7325346,3.703395,2.817369,2.1162937
20,80,80,20,10,0.5397399663925171,1.2841740846633911,0.4764999747276306,1.4946494102478027,3.7308557,3.7102656,2.8159702,2.1133611
21,80,80,20,10,0.544219970703125,1.267581820487976,0.4908999800682068,1.4486013650894165,3.7294948,3.7167416,2.818435,2.1178458
22,80,80,20,10,0.5510599613189697,1.250486135482788,0.49229997396469116,1.4512070417404175,3.7309468,3.720317,2.8186173,2.1177876
23,80,80,20,10,0.5532400012016296,1.2430856227874756,0.5231999754905701,1.3482880592346191,3.7304265,3.7287502,2.821736,2.1123543
24,80,80,20,10,0.5597400069236755,1.225055456161499,0.5133999586105347,1.3775451183319092,3.7299156,3.733106,2.8225257,2.117202
25,80,80,20,10,0.5616799592971802,1.2129931449890137,0.5188999772071838,1.3860363960266113,3.7305958,3.7417908,2.825093,2.1109755
26,80,80,20,10,0.5697599649429321,1.1996772289276123,0.47939997911453247,1.5343278646469116,3.732114,3.7493527,2.8297865,2.1165369
27,80,80,20,10,0.5732799768447876,1.1862181425094604,0.46149998903274536,1.6853152513504028,3.734145,3.75561,2.8290002,2.1174784
28,80,80,20,10,0.577239990234375,1.173947811126709,0.5157999992370605,1.3923038244247437,3.7362602,3.7632096,2.8320324,2.114131
29,80,80,20,10,0.5824800133705139,1.161488652229309,0.4989999830722809,1.4669606685638428,3.738592,3.7698355,2.8345418,2.1169193
