epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,80,60,200,10,0.21981999278068542,2.077347755432129,0.30629998445510864,1.900518536567688,4.248116,3.9353511,4.7491417,2.0353563
1,80,60,200,10,0.3178800046443939,1.8803597688674927,0.36089998483657837,1.7598671913146973,4.184591,3.8917823,4.667986,2.0460825
2,80,60,200,10,0.3570599853992462,1.7826690673828125,0.35589998960494995,1.7973535060882568,4.125573,3.8456285,4.5924864,2.0591624
3,80,60,200,10,0.38808000087738037,1.696435570716858,0.409199982881546,1.6400569677352905,4.0676727,3.7980335,4.5144057,2.0592241
4,80,60,200,10,0.409280002117157,1.6396269798278809,0.42260000109672546,1.6277737617492676,4.0179343,3.7627904,4.461446,2.0770862
5,80,60,200,10,0.42517998814582825,1.5969386100769043,0.44829997420310974,1.555383563041687,3.9729822,3.7372084,4.422208,2.0776439
6,80,60,200,10,0.44241997599601746,1.556086540222168,0.44749999046325684,1.542556881904602,3.9369867,3.7163715,4.37961,2.0789092
7,80,60,200,10,0.4548799991607666,1.5231002569198608,0.43129998445510864,1.6116046905517578,3.90643,3.6992688,4.344824,2.08455
8,80,60,200,10,0.4586799740791321,1.5014517307281494,0.44439998269081116,1.5824569463729858,3.8804615,3.6877148,4.313418,2.0868971
9,80,60,200,10,0.4723999798297882,1.4747446775436401,0.4487999975681305,1.548338532447815,3.8586576,3.6774004,4.284279,2.093287
10,80,60,200,10,0.4811999797821045,1.4470343589782715,0.4544000029563904,1.5424880981445312,3.8411393,3.6707911,4.2563825,2.0974562
11,80,60,200,10,0.4930199980735779,1.42457914352417,0.45260000228881836,1.557321310043335,3.826008,3.666063,4.2366886,2.0967858
12,80,60,200,10,0.4943599998950958,1.406196117401123,0.49289998412132263,1.4312316179275513,3.8141387,3.6657746,4.2174935,2.106444
13,80,60,200,10,0.5035600066184998,1.3880834579467773,0.45260000228881836,1.5390706062316895,3.804053,3.6658685,4.202737,2.1064522
14,80,60,200,10,0.5095199942588806,1.3663724660873413,0.4658999741077423,1.4961599111557007,3.7956073,3.6701076,4.1889615,2.1015234
15,80,60,200,10,0.5166400074958801,1.349567174911499,0.45350000262260437,1.5819804668426514,3.7907298,3.670334,4.1730385,2.1117046
16,80,60,200,10,0.5228599905967712,1.3314334154129028,0.4943999946117401,1.4558608531951904,3.7833064,3.6748335,4.1658306,2.11546
17,80,60,200,10,0.5289999842643738,1.3111681938171387,0.47360000014305115,1.4936624765396118,3.7802384,3.6791778,4.154792,2.1226833
18,80,60,200,10,0.5340999960899353,1.298383355140686,0.4668999910354614,1.529471755027771,3.7779067,3.6823363,4.1412287,2.1291995
19,80,60,200,10,0.5388999581336975,1.2822738885879517,0.47349998354911804,1.51509428024292,3.7760634,3.686076,4.1376595,2.1235998
20,80,60,200,10,0.5453599691390991,1.262534499168396,0.4932999908924103,1.461355209350586,3.774213,3.6908958,4.132719,2.1245384
21,80,60,200,10,0.5503199696540833,1.2494714260101318,0.502299964427948,1.4113115072250366,3.7734396,3.695146,4.1315,2.124589
22,80,60,200,10,0.5555199980735779,1.2347800731658936,0.4883999824523926,1.4981733560562134,3.7710154,3.7019634,4.1282783,2.1279619
23,80,60,200,10,0.5605599880218506,1.218248724937439,0.5062999725341797,1.4047255516052246,3.7700753,3.7066216,4.126723,2.1286454
24,80,60,200,10,0.5652599930763245,1.202985167503357,0.4940999746322632,1.4715046882629395,3.770065,3.7123537,4.1281137,2.1255152
25,80,60,200,10,0.5688999891281128,1.1916191577911377,0.5024999976158142,1.436910629272461,3.7696822,3.7164855,4.129298,2.1354299
26,80,60,200,10,0.5759400129318237,1.1729295253753662,0.5062999725341797,1.4721609354019165,3.770089,3.7216914,4.130011,2.1271977
27,80,60,200,10,0.5794399976730347,1.1652600765228271,0.5141000151634216,1.4195530414581299,3.770892,3.726549,4.1321316,2.1407325
28,80,60,200,10,0.5854799747467041,1.1478817462921143,0.5085999965667725,1.4436311721801758,3.771243,3.7318385,4.1365433,2.1352558
29,80,60,200,10,0.5877999663352966,1.1371482610702515,0.487199991941452,1.5278414487838745,3.7708735,3.7368534,4.139515,2.1473532
