epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,60,40,200,10,0.231019988656044,2.0568878650665283,0.28759998083114624,1.9304864406585693,3.987936,3.5498235,4.7042193,2.101588
1,60,40,200,10,0.32325997948646545,1.8620026111602783,0.3504999876022339,1.8043439388275146,3.93091,3.5248413,4.6165667,2.1041508
2,60,40,200,10,0.3576599955558777,1.7716041803359985,0.3513000011444092,1.7912343740463257,3.8880787,3.5010333,4.542942,2.09841
3,60,40,200,10,0.3858200013637543,1.6990983486175537,0.3628999888896942,1.7617133855819702,3.8470345,3.4827552,4.4689417,2.1028533
4,60,40,200,10,0.41081997752189636,1.639757513999939,0.4242999851703644,1.6026744842529297,3.807681,3.4651837,4.401413,2.1158464
5,60,40,200,10,0.4229799807071686,1.5954744815826416,0.42319998145103455,1.5863220691680908,3.7718265,3.4552999,4.344952,2.1159315
6,60,40,200,10,0.442440003156662,1.556382656097412,0.4405999779701233,1.5667203664779663,3.743231,3.4419966,4.29457,2.1166852
7,60,40,200,10,0.4477999806404114,1.5263563394546509,0.4576999843120575,1.5218546390533447,3.7163417,3.4330463,4.251457,2.126302
8,60,40,200,10,0.46317997574806213,1.4933719635009766,0.44599997997283936,1.5777010917663574,3.6976888,3.4265046,4.218167,2.1230552
9,60,40,200,10,0.47283998131752014,1.4669207334518433,0.4892999827861786,1.43303644657135,3.6828225,3.4178386,4.1891494,2.1258726
10,60,40,200,10,0.48339998722076416,1.4414485692977905,0.4585999846458435,1.5062533617019653,3.6675801,3.418308,4.1670866,2.122139
11,60,40,200,10,0.49317997694015503,1.417128562927246,0.4324999749660492,1.6094515323638916,3.6548734,3.4152842,4.1386867,2.1283174
12,60,40,200,10,0.49587997794151306,1.399515151977539,0.4536999762058258,1.5193113088607788,3.6467474,3.4135985,4.1232347,2.1290536
13,60,40,200,10,0.5050599575042725,1.38193678855896,0.40059998631477356,1.736616611480713,3.6378567,3.4151297,4.1042786,2.1361418
14,60,40,200,10,0.5090799927711487,1.3606162071228027,0.45909997820854187,1.518531084060669,3.6293864,3.4173985,4.0892806,2.131889
15,60,40,200,10,0.5191400051116943,1.3464199304580688,0.4763000011444092,1.4513697624206543,3.6216686,3.4194493,4.0771813,2.123996
16,60,40,200,10,0.5259799957275391,1.331433892250061,0.4984999895095825,1.4269983768463135,3.617484,3.4236438,4.06801,2.1213553
17,60,40,200,10,0.5312199592590332,1.3119465112686157,0.5040000081062317,1.4058109521865845,3.6134634,3.425826,4.0577555,2.1322048
18,60,40,200,10,0.5349799990653992,1.2996362447738647,0.4892999827861786,1.4770923852920532,3.612153,3.4308584,4.051409,2.1227686
19,60,40,200,10,0.5406599640846252,1.2863467931747437,0.4958999752998352,1.4163453578948975,3.6103473,3.4365053,4.050834,2.119126
20,60,40,200,10,0.5449399948120117,1.2723720073699951,0.47669997811317444,1.4650068283081055,3.6082923,3.439746,4.044943,2.1260972
21,60,40,200,10,0.5511599779129028,1.2525696754455566,0.49729999899864197,1.4620403051376343,3.6079237,3.44324,4.0394535,2.137314
22,60,40,200,10,0.5555199980735779,1.239682912826538,0.4799000024795532,1.4972864389419556,3.6080294,3.4461026,4.0426474,2.1304204
23,60,40,200,10,0.5591599941253662,1.228438377380371,0.513700008392334,1.3711150884628296,3.6076527,3.4493537,4.04348,2.117692
24,60,40,200,10,0.5642799735069275,1.2152159214019775,0.5094000101089478,1.4123493432998657,3.6080992,3.4517322,4.044877,2.1180787
25,60,40,200,10,0.5668399930000305,1.2051717042922974,0.49619999527931213,1.4838708639144897,3.6084983,3.4556355,4.047938,2.1293771
26,60,40,200,10,0.5737000107765198,1.1902096271514893,0.5040000081062317,1.442742943763733,3.6111329,3.4615343,4.050834,2.1242232
27,60,40,200,10,0.5751399993896484,1.1765879392623901,0.5063999891281128,1.4051724672317505,3.612427,3.4651368,4.051837,2.1215143
28,60,40,200,10,0.5809000134468079,1.1651536226272583,0.4917999804019928,1.468276023864746,3.6130893,3.467784,4.055768,2.118676
29,60,40,200,10,0.5872399806976318,1.1494141817092896,0.5069999694824219,1.4407025575637817,3.61392,3.473429,4.0611353,2.12615
