epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,20,30,140,5,0.18097999691963196,2.104968786239624,0.17479999363422394,2.2798101902008057,2.9374847,3.214222,4.4673567,1.5375633
1,20,30,140,5,0.2729399800300598,1.9266349077224731,0.31599998474121094,1.8430066108703613,2.9148257,3.1480587,4.310847,1.5693915
2,20,30,140,5,0.3252999782562256,1.819504976272583,0.34759998321533203,1.771531343460083,2.9044342,3.1217842,4.1874514,1.5712076
3,20,30,140,5,0.3610999882221222,1.7527121305465698,0.3905999958515167,1.692822813987732,2.8979185,3.1145883,4.120512,1.5649463
4,20,30,140,5,0.3770599961280823,1.7066890001296997,0.3894999921321869,1.6705964803695679,2.8943894,3.094986,4.019031,1.5607556
5,20,30,140,5,0.3966600000858307,1.6589264869689941,0.38979998230934143,1.694511890411377,2.8938205,3.087286,3.9325948,1.5603827
6,20,30,140,5,0.41071999073028564,1.6164202690124512,0.4075999855995178,1.6544569730758667,2.8928423,3.0793781,3.8694556,1.5612748
7,20,30,140,5,0.4264799952507019,1.5824395418167114,0.4494999945163727,1.544108510017395,2.8921983,3.072307,3.809651,1.5652951
8,20,30,140,5,0.43794000148773193,1.5537683963775635,0.41040000319480896,1.6444073915481567,2.8916159,3.0713606,3.7724853,1.5615971
9,20,30,140,5,0.4467400014400482,1.5284699201583862,0.4315999746322632,1.5670771598815918,2.8909461,3.0648763,3.7361093,1.5602337
10,20,30,140,5,0.45493999123573303,1.509285569190979,0.4136999845504761,1.6338313817977905,2.891742,3.0650725,3.7125554,1.5627165
11,20,30,140,5,0.45917999744415283,1.4887280464172363,0.44269999861717224,1.5616271495819092,2.8942735,3.063941,3.6940358,1.5603403
12,20,30,140,5,0.4719799757003784,1.4688780307769775,0.4408999979496002,1.5757428407669067,2.897755,3.0641127,3.6712213,1.5652132
13,20,30,140,5,0.47391998767852783,1.4575557708740234,0.45719999074935913,1.511745810508728,2.8986995,3.06608,3.6481764,1.563928
14,20,30,140,5,0.4828999936580658,1.4355287551879883,0.4804999828338623,1.4722732305526733,2.9033186,3.0685897,3.6361785,1.5642761
15,20,30,140,5,0.48597997426986694,1.425443410873413,0.4731999933719635,1.4995479583740234,2.9071298,3.0736647,3.6330092,1.560573
16,20,30,140,5,0.49243998527526855,1.4100544452667236,0.48569998145103455,1.4664082527160645,2.9095871,3.0791912,3.6205008,1.5588399
17,20,30,140,5,0.4987199902534485,1.3944026231765747,0.46379998326301575,1.504555583000183,2.9131076,3.08281,3.6127486,1.564996
18,20,30,140,5,0.5014199614524841,1.3845726251602173,0.48489999771118164,1.4357812404632568,2.9164798,3.0894308,3.6076012,1.5632744
19,20,30,140,5,0.5064600110054016,1.3714178800582886,0.46539998054504395,1.485338807106018,2.9198341,3.0938964,3.5971813,1.5681639
20,20,30,140,5,0.5103399753570557,1.3611406087875366,0.49059998989105225,1.4552650451660156,2.921891,3.0996475,3.5893617,1.5628601
21,20,30,140,5,0.5141199827194214,1.3467990159988403,0.5,1.4324287176132202,2.9239876,3.105491,3.5861375,1.559613
22,20,30,140,5,0.5208399891853333,1.3343547582626343,0.468099981546402,1.5455772876739502,2.925084,3.1137307,3.581017,1.5621245
23,20,30,140,5,0.5232599973678589,1.3277729749679565,0.4903999865055084,1.4551260471343994,2.9269092,3.1190152,3.5825272,1.5630169
24,20,30,140,5,0.5263599753379822,1.3165485858917236,0.5044999718666077,1.4083012342453003,2.9283211,3.124854,3.5831988,1.5672488
25,20,30,140,5,0.5279799699783325,1.3068560361862183,0.4702000021934509,1.5242278575897217,2.929108,3.130124,3.5771434,1.5642023
26,20,30,140,5,0.5339800119400024,1.297791600227356,0.49869999289512634,1.4571235179901123,2.9304388,3.135213,3.5799913,1.5666773
27,20,30,140,5,0.5374599695205688,1.2877382040023804,0.5011999607086182,1.4137698411941528,2.9313047,3.141971,3.5792131,1.5625985
28,20,30,140,5,0.5408799648284912,1.2790088653564453,0.4908999800682068,1.5027422904968262,2.932728,3.1480315,3.5810354,1.5631628
29,20,30,140,5,0.542199969291687,1.2721142768859863,0.47679999470710754,1.5569026470184326,2.9336097,3.1522408,3.5803266,1.5668894
