epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,60,80,140,10,0.23401999473571777,2.040234327316284,0.2655999958515167,1.949040174484253,3.9822521,4.1348968,4.5641503,2.1031837
1,60,80,140,10,0.3153799772262573,1.8724746704101562,0.3319000005722046,1.8476465940475464,3.926916,4.0708575,4.483811,2.09844
2,60,80,140,10,0.35697999596595764,1.7835829257965088,0.35349997878074646,1.8135993480682373,3.884099,4.0133095,4.4252167,2.106378
3,60,80,140,10,0.3838199973106384,1.7060853242874146,0.359499990940094,1.7609163522720337,3.8444238,3.9481232,4.3636737,2.100601
4,60,80,140,10,0.4053399860858917,1.6499102115631104,0.40959998965263367,1.6523046493530273,3.8092458,3.9122543,4.321506,2.108367
5,60,80,140,10,0.4229399859905243,1.6031421422958374,0.41279998421669006,1.6127502918243408,3.7765324,3.8822174,4.2798314,2.1240385
6,60,80,140,10,0.4377000033855438,1.562856674194336,0.4490000009536743,1.5341362953186035,3.7484844,3.8547268,4.250291,2.123066
7,60,80,140,10,0.44835999608039856,1.5327543020248413,0.40379998087882996,1.6788409948349,3.7235324,3.8354864,4.218124,2.1162562
8,60,80,140,10,0.46035999059677124,1.5041300058364868,0.44739997386932373,1.530102014541626,3.7037828,3.8221369,4.191841,2.1184065
9,60,80,140,10,0.4709799885749817,1.4798084497451782,0.4602999985218048,1.5064359903335571,3.6886237,3.8112993,4.165148,2.107795
10,60,80,140,10,0.47891998291015625,1.4544206857681274,0.4278999865055084,1.6050010919570923,3.6756701,3.8012497,4.14801,2.1113489
11,60,80,140,10,0.48795998096466064,1.4310474395751953,0.4633999764919281,1.5068289041519165,3.665116,3.790212,4.1248736,2.097939
12,60,80,140,10,0.492139995098114,1.4129763841629028,0.46309998631477356,1.5195666551589966,3.6571362,3.7876182,4.1110315,2.0940259
13,60,80,140,10,0.5022799968719482,1.3928906917572021,0.4738999903202057,1.4924910068511963,3.649902,3.783448,4.0937414,2.1066685
14,60,80,140,10,0.5084599852561951,1.374002456665039,0.49469998478889465,1.428407907485962,3.6434796,3.7825093,4.0800085,2.1118453
15,60,80,140,10,0.5162599682807922,1.350554347038269,0.47859999537467957,1.4690816402435303,3.6384,3.7862601,4.0713468,2.1154494
16,60,80,140,10,0.5202999711036682,1.336497187614441,0.46859997510910034,1.493579387664795,3.6358364,3.7840295,4.057794,2.1101809
17,60,80,140,10,0.5265600085258484,1.3197076320648193,0.45669999718666077,1.527263879776001,3.6336877,3.7873502,4.047904,2.118426
18,60,80,140,10,0.5340399742126465,1.3042092323303223,0.48919999599456787,1.4455643892288208,3.6312234,3.7919648,4.044348,2.1335592
19,60,80,140,10,0.5386199951171875,1.2865053415298462,0.4917999804019928,1.4798561334609985,3.6288366,3.796453,4.0367804,2.1298978
20,60,80,140,10,0.5431399941444397,1.2726478576660156,0.5092999935150146,1.3950093984603882,3.6281636,3.7999206,4.030769,2.133108
21,60,80,140,10,0.5490599870681763,1.2546632289886475,0.4803999960422516,1.4952982664108276,3.6285148,3.80243,4.025448,2.1383958
22,60,80,140,10,0.5529800057411194,1.2423806190490723,0.5103999972343445,1.4065269231796265,3.6273448,3.8098996,4.024781,2.1284404
23,60,80,140,10,0.559719979763031,1.2270638942718506,0.49969998002052307,1.4526658058166504,3.6280143,3.8131356,4.0207815,2.134278
24,60,80,140,10,0.5635600090026855,1.2113726139068604,0.5081999897956848,1.4330819845199585,3.629575,3.8199778,4.022343,2.1394138
25,60,80,140,10,0.5676000118255615,1.1991428136825562,0.527999997138977,1.3521653413772583,3.6319592,3.8269432,4.0236416,2.1272316
26,60,80,140,10,0.5737999677658081,1.1841278076171875,0.5090000033378601,1.4322054386138916,3.6322758,3.8335361,4.022843,2.121364
27,60,80,140,10,0.5754599571228027,1.1742891073226929,0.5242999792098999,1.3961889743804932,3.633079,3.8398716,4.0273266,2.1259196
28,60,80,140,10,0.5854399800300598,1.1564257144927979,0.5116999745368958,1.4632325172424316,3.633856,3.8444078,4.025988,2.1344042
29,60,80,140,10,0.5855199694633484,1.145957112312317,0.5130999684333801,1.4563406705856323,3.6354516,3.848673,4.031801,2.1390789
