epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,20,20,20,10,0.17061999440193176,2.1103250980377197,0.1826999932527542,2.1149191856384277,2.9081905,2.8275082,2.867178,1.938414
1,20,20,20,10,0.23283998668193817,2.0024750232696533,0.2773999869823456,1.9122085571289062,2.8852637,2.7083817,2.7718978,1.9249748
2,20,20,20,10,0.29214000701904297,1.877686619758606,0.30390000343322754,1.8464901447296143,2.8764088,2.6846561,2.7116506,1.9387177
3,20,20,20,10,0.3279399871826172,1.806406855583191,0.343999981880188,1.7810851335525513,2.8623552,2.684538,2.6700444,1.9553204
4,20,20,20,10,0.35420000553131104,1.7553330659866333,0.3734999895095825,1.710396409034729,2.8585021,2.6894941,2.6419797,1.9753785
5,20,20,20,10,0.379859983921051,1.6954408884048462,0.3588999807834625,1.7458359003067017,2.8579834,2.6916313,2.6220355,1.9925888
6,20,20,20,10,0.3990599811077118,1.644302487373352,0.36899998784065247,1.7395626306533813,2.859759,2.7006311,2.6084018,1.9933779
7,20,20,20,10,0.41525998711586,1.6051942110061646,0.42229998111724854,1.5941641330718994,2.8598657,2.7132447,2.6034946,2.00661
8,20,20,20,10,0.4280799925327301,1.5692344903945923,0.4292999804019928,1.5904127359390259,2.8616989,2.7198057,2.6006083,2.0130296
9,20,20,20,10,0.4397999942302704,1.5430046319961548,0.430899977684021,1.586761713027954,2.8618224,2.7306693,2.5992787,2.0338244
10,20,20,20,10,0.4523800015449524,1.5189812183380127,0.44119998812675476,1.5453497171401978,2.860356,2.736237,2.6013603,2.0454175
11,20,20,20,10,0.4625599980354309,1.4953442811965942,0.4300999939441681,1.5645676851272583,2.8599873,2.745474,2.600372,2.0499747
12,20,20,20,10,0.46531999111175537,1.4777653217315674,0.45260000228881836,1.539046049118042,2.859782,2.7541142,2.6014817,2.0544472
13,20,20,20,10,0.47581997513771057,1.4550129175186157,0.4648999869823456,1.500760555267334,2.8611639,2.760655,2.6049244,2.052916
14,20,20,20,10,0.47867998480796814,1.4398380517959595,0.44029998779296875,1.546006679534912,2.8620026,2.7641048,2.6020424,2.0579183
15,20,20,20,10,0.48669999837875366,1.4231810569763184,0.42260000109672546,1.5960566997528076,2.8638148,2.7695532,2.6019611,2.064902
16,20,20,20,10,0.49205997586250305,1.4110314846038818,0.45809999108314514,1.5004024505615234,2.866373,2.7739027,2.5994868,2.0599759
17,20,20,20,10,0.4965199828147888,1.3969042301177979,0.462799996137619,1.4988734722137451,2.8680649,2.7778773,2.6019204,2.0686967
18,20,20,20,10,0.5021399855613708,1.3812916278839111,0.4625999927520752,1.4979956150054932,2.8708541,2.783179,2.601514,2.072152
19,20,20,20,10,0.5062800049781799,1.3723284006118774,0.4861999750137329,1.42440664768219,2.8745553,2.787975,2.6061928,2.0683084
20,20,20,20,10,0.5118600130081177,1.360115647315979,0.4713999927043915,1.4924854040145874,2.877189,2.7920382,2.6034074,2.0751965
21,20,20,20,10,0.5127599835395813,1.3485928773880005,0.4796999990940094,1.4578123092651367,2.880196,2.7969875,2.605844,2.0777683
22,20,20,20,10,0.5169000029563904,1.3393408060073853,0.49379998445510864,1.4259295463562012,2.8834727,2.8019364,2.605917,2.080641
23,20,20,20,10,0.5204399824142456,1.3296351432800293,0.4948999881744385,1.4214534759521484,2.8860729,2.8057125,2.6129396,2.0867128
24,20,20,20,10,0.5260999798774719,1.3192285299301147,0.47589999437332153,1.5211306810379028,2.887119,2.8090513,2.613696,2.0823078
25,20,20,20,10,0.5311399698257446,1.3072433471679688,0.4837999939918518,1.471031904220581,2.8893125,2.8145072,2.6170168,2.0923266
26,20,20,20,10,0.5318399667739868,1.3004066944122314,0.4885999858379364,1.4396984577178955,2.892111,2.8189702,2.6181684,2.0943604
27,20,20,20,10,0.5341399908065796,1.2906513214111328,0.4973999857902527,1.417960286140442,2.8948488,2.821893,2.6228056,2.0992427
28,20,20,20,10,0.534559965133667,1.2878096103668213,0.49149999022483826,1.4225345849990845,2.8959398,2.8283672,2.6295252,2.1003408
29,20,20,20,10,0.5422599911689758,1.2747533321380615,0.49879997968673706,1.4245675802230835,2.8988006,2.8316367,2.63181,2.1078017
