epoch,loss,acc,layer_0,layer_1,layer_2,layer_3,val_loss,val_acc
0,1.9520344,0.21838,84.92581525579568,89.11640903985455,89.76002731049368,63.246641276028,1.930311,0.2594
1,1.9876744,0.27768,80.85503062357334,85.4407442912801,89.00032597204117,,1.8733442,0.317
2,1.701314,0.329,,60.97975085240328,85.55060173994889,,1.828021,0.3391
3,1.6772377,0.35604,50.55115664869138,65.93952419455309,87.17429027740883,,1.792792,0.3489
4,1.6462008,0.37628,70.92852326649898,73.15387617060328,87.59983915822178,,1.7183847,0.3784
5,1.5669279,0.39416,67.93291990125846,76.13667239198091,88.88521457502374,,1.6647255,0.3946
6,1.5439818,0.40812,64.97703292717243,73.67936656557329,88.56932667183021,,1.6505643,0.4104
7,1.5733557,0.42274,63.23346356543321,63.033573313300046,87.77012050070918,,1.5899771,0.4294
8,1.6381462,0.43712,38.806507697349936,35.82980501501281,86.906359730047,,1.6511549,0.398
9,1.6822029,0.4421,,,85.62220775133085,,1.6181289,0.4245
10,1.3213797,0.45034,56.22316368605242,71.02920657409321,88.4051733044126,,1.5239393,0.4573
11,1.4971206,0.4565,66.1921995711041,73.93187600882395,88.72902875921655,,1.530055,0.4528
12,1.3639734,0.4629,60.8839358336788,69.59575408573168,88.90970108637258,,1.5553145,0.4527
13,1.4028093,0.4702,,,85.48815092119989,,1.6006236,0.4357
14,1.5022218,0.47528,50.45785866221391,64.81712475527387,88.6818371595865,,1.5341123,0.4458
15,1.3482484,0.48014,42.569696572082954,30.7248581018613,87.53020487340814,,1.5117193,0.455
16,1.4473549,0.48506,,33.53777463351653,87.4717265649719,,1.5431074,0.4468
17,1.2930616,0.49012,74.44981570602963,74.93129788220877,89.04184770824781,,1.4830619,0.4709
18,1.5216726,0.49336,73.13291015713793,75.53879170116383,89.22903962450818,,1.4791516,0.4747
19,1.2839111,0.49702,51.82618361758549,31.74018296776342,87.16360866496021,,1.5525053,0.4616
20,1.3071152,0.49938,66.11350596754065,58.21287229939918,88.40488598901362,,1.4787831,0.4719
21,1.2035831,0.50694,61.12309417643403,59.90071793652415,87.99084588769276,,1.4763085,0.4838
22,1.3832371,0.50896,46.99953588617911,49.81303256423943,88.03682493167103,,1.4596162,0.4824
23,1.1409413,0.51474,,,85.84991189879939,,1.516154,0.4657
24,1.2443105,0.5147,65.05641613281635,61.23866721060287,88.38816667068056,,1.4741131,0.4809
25,1.1315117,0.51958,57.06388726955387,64.6109548002183,88.56627265943837,,1.4670554,0.4851
26,1.3608949,0.52236,68.19954519179942,64.87763206776637,88.75134964317769,11.429448774087232,1.4443697,0.4898
27,1.2196312,0.526,62.599639525791524,50.39598024239882,88.07760847421564,,1.4512733,0.4932
28,1.2596687,0.52802,64.55274523410387,64.85515722306125,88.69251817937166,,1.4663367,0.4894
29,1.3470285,0.52914,56.07715950126124,65.48508561444704,88.62560241596307,,1.4387501,0.4959
30,1.1880829,0.53542,65.90111324008471,71.60883099827812,88.69841747946577,32.35186834057381,1.447704,0.4973
31,1.2588086,0.53636,64.78202750961549,63.10731101739074,88.9559529852066,50.84960715037329,1.4323756,0.4954
32,1.1084607,0.53802,52.07285117211473,49.60785695017577,87.21340152031998,,1.4701922,0.4932
33,1.1595037,0.5414,,,86.03936104275377,,1.4839264,0.4852
34,1.1076609,0.54482,65.23615549087734,68.69759989002684,88.6319794925017,,1.4476585,0.4951
35,1.2791798,0.54596,65.78648443586027,54.07588392263494,88.05089537797103,,1.4665552,0.4889
36,1.0961573,0.54898,70.16164429205196,70.40073791631721,88.83770400263204,24.344317519993304,1.4126196,0.5047
37,1.2885383,0.55022,63.71964544540959,52.54853966641854,87.6361981767351,,1.4650816,0.4942
38,1.4088157,0.55084,48.700858607300724,54.39389459813144,87.63769547638063,,1.4690133,0.4959
